,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Central attack,Central defence,Left attack,Left defence,Right attack,Right defence,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Central attack_,Central defence_,Left attack_,Left defence_,Right attack_,Right defence_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
0,2025-04-04 20:00:00+02:00,90,World Cup,12.266080506466214,16.305853589386253,13.668141979338476,14.147725908438073,England,7.75,14.25,20.5,14.75,21.0,17.0,20.0,10.25,12.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-5,17,ZUUEQUQHEUQUQE,A,Saudi Arabia,11.25,12.5,18.5,13.0,17.75,12.5,18.0,7.75,11.0,Normal,0,0,3-5-2,3,5,2,4,3,12,ZUEZEQHHZUZZEU,H,Sau,2025-04-04,CA,WC1,12.266080506466214
1,2025-03-28 20:00:00+01:00,90,Friendly,,,,,England,6.0,12.25,21.25,17.75,22.25,17.0,24.5,9.5,12.0,Counter-attacks,21,0,4-3-3,4,3,3,3,-10,11,ZTQEHQHEEQQQQQ,H,Ghana,14.5,14.5,13.0,17.25,15.25,17.25,15.75,8.25,10.75,Normal,0,0,2-5-3,2,5,3,5,0,13,ZTEEEUQHHUTWUZ,A,Gha,2025-03-28,CA,F,
2,2025-03-21 20:00:00+01:00,90,Friendly,,,,,England,5.5,10.0,26.5,12.25,26.5,14.25,27.75,9.75,13.5,Counter-attacks,25,0,5-3-2,5,3,2,1,-10,14,ZUQHTQQpEEQQQE,A,Polska,4.75,10.5,25.0,12.5,21.0,12.25,22.75,6.25,10.0,Counter-attacks,22,0,5-3-2,5,3,2,0,-10,10,ZQTHQUUEUEQQEH,H,Pol,2025-03-21,CA,F,
3,2025-03-14 20:00:00+01:00,90,Europe Cup,13.594761582253602,20.053975908290962,18.586611817440406,18.097490453823553,England,14.5,19.0,12.75,18.5,14.75,20.5,14.75,10.0,12.0,Normal,0,0,3-4-3,3,4,3,2,7,15,ZUEUEUQHEQQUQW,A,Bulgaria,11.75,11.5,23.5,13.25,21.5,13.75,21.75,10.5,13.25,Counter-attacks,21,0,4-4-2,4,4,2,0,-9,14,ZHUEHUQEHQQQTE,H,Bul,2025-03-14,N,CC,13.594761582253602
4,2025-03-07 20:00:00+01:00,90,Europe Cup,10.823800353869723,14.789674426858879,4.261431614518659,7.5201734373858695,England,10.25,4.25,29.5,7.5,27.0,14.75,27.25,8.5,13.5,Pressing,15,0,5-4-1,5,4,1,1,-10,17,ZUHUPUQHpEHUEE,H,Danmark,10.0,12.25,24.5,16.5,27.75,16.75,25.5,8.75,12.75,Counter-attacks,20,0,4-4-2,4,4,2,0,-10,18,UHUEUQQQEUQWET,A,Dan,2025-03-07,Pr,CC,10.823800353869723
5,2025-02-28 20:00:00+01:00,90,Europe Cup,15.65688958834148,14.145805014948449,16.46057310830365,14.403001469765693,England,14.25,16.0,16.25,14.0,16.75,13.75,16.75,10.25,12.5,Normal,0,0,3-5-2,3,5,2,2,3,16,ZUEUEUQUUZHHEP,H,MagyarorszÃ¡g,13.5,14.5,17.75,13.5,17.25,13.5,17.75,9.75,12.25,Normal,0,0,3-5-2,3,5,2,1,0,12,ZUEHEHUUpUQWEU,A,Mag,2025-02-28,N,CC,15.65688958834148
6,2025-02-21 20:00:00+01:00,90,Europe Cup,17.64709594387715,13.21551512537375,14.212912493326487,13.21551512537375,England,17.0,14.25,16.25,13.25,17.5,13.25,16.75,9.25,12.0,Normal,0,0,3-5-2,3,5,2,0,-1,15,ZQETEUHUUQQQEW,A,Espana,15.5,13.5,19.25,13.0,18.75,12.75,18.25,10.0,12.75,Play creatively,26,0,3-5-2,3,5,2,3,-1,15,UUEUEHQUQHQUQE,H,Esp,2025-02-21,N,CC,17.64709594387715
7,2025-02-14 20:00:00+01:00,90,Europe Cup,15.041386295292485,15.170224829191822,15.170224829191822,13.370367646067368,England,14.5,14.75,17.5,13.0,18.0,14.75,18.0,9.0,11.75,Normal,0,0,3-5-2,3,5,2,4,2,16,ZUETEUHUUZHUEP,H,San Marino,16.75,18.5,14.5,12.25,9.0,12.0,9.0,7.25,9.5,Attack in the middle,23,0,2-5-3,2,5,3,2,10,17,ZEUEUEQTUHHWQH,A,San,2025-02-14,N,CC,15.041386295292485
8,2025-02-07 20:00:00+01:00,90,Europe Cup,13.662732814500343,16.447756621354404,18.192215656952598,20.435091559864563,England,13.0,18.25,13.25,20.5,15.5,16.5,15.5,8.75,11.0,Normal,0,0,3-4-3,3,4,3,0,4,16,ZUEUEUUQEQHPQU,H,Bulgaria,9.75,13.25,25.25,13.5,23.25,13.25,23.75,10.75,13.25,Counter-attacks,19,0,4-4-2,4,4,2,3,-8,15,ZHUEHUQQHEQHQE,A,Bul,2025-02-07,N,CC,13.662732814500343
9,2025-02-03 20:00:00+01:00,90,Europe Cup,17.829439086098436,14.071605253885904,16.18234604196879,14.071605253885904,England,17.5,17.25,15.5,15.0,15.5,15.0,15.75,8.75,11.5,Normal,0,0,3-5-2,3,5,2,1,2,15,ZUEPEUUUZQHWEU,A,Danmark,18.25,15.25,19.75,14.75,19.5,11.25,16.5,9.25,11.75,Normal,0,0,2-5-3,2,5,3,5,3,16,SEEUEUHpHUUUTP,H,Dan,2025-02-03,N,CC,17.829439086098436
10,2025-01-31 20:00:00+01:00,90,Europe Cup,13.369922365269145,12.615112257036627,13.08233863692687,12.848725446981748,England,10.25,14.0,21.75,13.75,22.25,13.5,22.5,10.0,12.5,Counter-attacks,19,0,4-4-2,4,4,2,1,-9,15,ZUHEPUHEUUUWEU,A,MagyarorszÃ¡g,16.75,17.0,15.5,14.0,16.25,14.75,15.0,9.25,11.5,Normal,0,0,3-5-2,3,5,2,1,5,12,ZQEQEUQUUUQUEP,H,Mag,2025-01-31,CA,CC,13.369922365269145
