,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Defender number,Midfielder number,Forward number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Defender number_,Midfielder number_,Forward number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-05-13 20:00:00,Match 2 in round V of World Cup,Argentina,17.327350240324847,18.075027738720532,15.632456422677217,15.143942159468555,18.0,18.0,17.25,18.0,18.5,16.0,15.5,11.25,7.5,(no tactic),0,15.75,0,2.5,3,3.0,5.0,2.0,,,,N,España,17.5,16.75,16.5,17.25,14.25,18.0,15.5,12.0,10.25,(no tactic),0,18.0,-50,2.2,4,3.0,5.0,2.0,,,,H,WC5,Esp,2024-05-13,3.0-5.0-2.0,3.0-5.0-2.0,N,86,17.327350240324847
1,2024-05-10 20:00:00,Match 1 in round V of World Cup,Argentina,15.71045154858886,15.179019186264917,22.651767093349182,22.651767093349182,13.5,11.5,14.0,14.0,16.25,24.25,24.25,10.5,8.0,(no tactic),0,16.75,100,3.8,2,2.0,5.0,3.0,,,,N,Latvija,13.5,8.5,14.0,8.25,13.5,18.25,13.0,11.25,9.5,Attack in the Middle,25,16.5,100,2.9,4,2.0,5.0,3.0,,,,A,WC5,Lat,2024-05-10,2.0-5.0-3.0,2.0-5.0-3.0,N,86,15.71045154858886
2,2024-05-03 20:00:00,Match 3 in round IV of World Cup,Argentina,14.130850215760486,13.053343871060747,13.765344445845878,12.81601034613237,11.75,22.75,26.0,22.5,13.75,14.5,13.5,11.75,8.0,Counter-attacks,17,15.75,-100,1.5,2,4.0,4.0,2.0,,,,N,România,13.75,15.25,17.5,17.5,9.75,16.25,16.0,12.75,10.5,Pressing,12,14.5,-30,0.9,0,3.0,5.0,2.0,,,,A,WC4,Rom,2024-05-03,4.0-4.0-2.0,3.0-5.0-2.0,CA,86,14.130850215760486
3,2024-04-29 20:00:00,Match 2 in round IV of World Cup,Argentina,17.919068145593506,14.581290034232106,21.991453822120555,18.405890698948724,17.75,11.5,14.75,15.5,15.25,23.0,19.25,10.75,8.5,(no tactic),0,16.75,50,1.8,2,2.0,5.0,3.0,,,,N,Belgium,9.0,26.75,27.0,28.0,14.5,4.75,14.0,13.25,9.0,Counter-attacks,23,18.75,-100,1.3,1,5.0,4.0,1.0,,,,H,WC4,Bel,2024-04-29,2.0-5.0-3.0,5.0-4.0-1.0,N,86,17.919068145593506
4,2024-04-26 20:00:00,Match 1 in round IV of World Cup,Argentina,16.801142980521433,22.171541400575098,22.171541400575098,14.941690943865826,13.25,14.5,13.25,10.75,23.0,23.0,15.5,10.75,8.5,(no tactic),0,16.75,100,3.8,3,2.0,5.0,3.0,,,,N,China,12.75,11.75,14.25,14.75,16.0,18.75,17.25,11.25,9.0,(no tactic),0,14.75,100,3.1,2,3.0,5.0,2.0,,,,A,WC4,Chi,2024-04-26,2.0-5.0-3.0,3.0-5.0-2.0,N,86,16.801142980521433
5,2024-04-19 20:00:00,Match 3 in round III of World Cup,Argentina,15.35186370677349,16.8519419974483,19.538483475302378,16.8519419974483,12.5,15.0,12.0,15.25,17.25,20.0,17.25,11.25,9.75,(no tactic),0,15.0,100,5.6,7,2.0,5.0,3.0,,,,N,O'zbekiston,5.0,17.0,18.5,17.0,8.75,9.0,9.75,8.75,5.75,Counter-attacks,13,8.0,-100,0.2,0,4.0,4.0,2.0,,,,A,WC3,O'z,2024-04-19,2.0-5.0-3.0,4.0-4.0-2.0,N,86,15.35186370677349
6,2024-04-15 20:00:00,Match 2 in round III of World Cup,Argentina,14.461421774466588,14.201790173714622,14.949252814436443,13.952635960140682,14.0,18.5,17.5,18.25,14.25,15.0,14.0,11.25,7.5,Play creatively,27,14.75,0,2.6,3,3.0,5.0,2.0,,,,N,Bulgaria,12.25,18.5,17.0,16.25,16.75,16.75,15.75,11.75,9.5,(no tactic),0,14.0,-10,2.7,1,3.0,5.0,2.0,,,,H,WC3,Bul,2024-04-15,3.0-5.0-2.0,3.0-5.0-2.0,PC,86,14.461421774466588
7,2024-04-12 20:00:00,Match 1 in round III of World Cup,Argentina,12.000192522144722,16.05678487488135,11.978871255863865,14.527567267749793,9.25,24.25,24.25,26.5,15.75,11.75,14.25,12.25,8.75,Counter-attacks,19,15.75,-100,2.0,3,4.0,4.0,2.0,,,,N,Suomi,13.75,15.25,12.75,15.5,16.75,18.25,17.0,12.25,10.0,(no tactic),0,14.5,20,1.8,1,3.0,5.0,2.0,,,,A,WC3,Suo,2024-04-12,4.0-4.0-2.0,3.0-5.0-2.0,CA,86,12.000192522144722
8,2024-04-05 20:00:00,Match 6 in round II of World Cup,Argentina,12.534499740793157,12.90844808251486,12.411969310110443,15.887320716941367,11.25,24.25,25.75,23.0,13.0,12.5,16.0,12.0,8.25,Counter-attacks,18,15.25,-100,1.9,3,4.0,4.0,2.0,,,,A,Senegal,15.5,14.0,14.25,14.75,13.75,18.75,16.25,9.75,8.0,(no tactic),0,14.5,40,1.7,1,3.0,4.0,3.0,,,,H,WC2,Sen,2024-04-05,4.0-4.0-2.0,3.0-4.0-3.0,CA,86,12.534499740793157
9,2024-03-29 20:00:00,Match 5 in round II of World Cup,Argentina,12.96630853997916,12.812039142769855,12.574779158644487,12.100259190393752,12.0,22.5,25.5,22.5,13.5,13.25,12.75,11.75,8.25,Counter-attacks,19,14.5,-100,0.8,0,4.0,4.0,2.0,,,,A,O'zbekiston,11.25,23.0,27.0,23.75,9.75,7.25,10.0,12.0,7.5,Counter-attacks,22,17.5,-100,0.4,1,5.0,4.0,1.0,,,,H,WC2,O'z,2024-03-29,4.0-4.0-2.0,5.0-4.0-1.0,CA,86,12.96630853997916
10,2024-03-25 20:00:00,Match 4 in round II of World Cup,Argentina,14.039377206168119,17.588113852429952,19.756511450674743,21.443042915976243,15.25,10.0,12.25,13.5,18.25,20.5,22.25,10.25,7.75,Play creatively,26,13.75,100,2.2,1,2.0,5.0,3.0,,,,H,Uganda,12.0,22.25,23.0,23.75,8.75,6.0,9.0,11.5,7.0,Pressing,13,14.5,-100,0.6,0,4.0,5.0,1.0,,,,A,WC2,Uga,2024-03-25,2.0-5.0-3.0,4.0-5.0-1.0,PC,86,14.039377206168119
11,2024-03-22 20:00:00,Match 3 in round II of World Cup,Argentina,15.93832327724695,21.605998103716182,19.887339163647848,17.432112106407374,13.75,13.5,12.25,10.0,22.0,20.25,17.75,10.25,7.75,Play creatively,26,14.0,100,2.5,1,2.0,5.0,3.0,,,,A,Uganda,8.5,26.5,27.5,27.5,3.5,5.0,13.75,12.25,7.25,Counter-attacks,22,14.75,-100,0.9,0,5.0,4.0,1.0,,,,H,WC2,Uga,2024-03-22,2.0-5.0-3.0,5.0-4.0-1.0,PC,86,15.93832327724695
12,2024-03-18 20:00:00,Match 2 in round II of World Cup,Argentina,14.653338006231246,14.86979433460218,21.561201785173164,22.30469150190327,14.0,9.75,12.0,13.25,15.0,21.75,22.5,10.25,8.25,Play creatively,26,13.75,100,3.2,2,2.0,5.0,3.0,,,,H,O'zbekiston,9.5,21.25,24.0,22.25,11.75,8.5,14.25,11.25,7.75,Counter-attacks,18,17.5,-100,1.5,1,4.0,4.0,2.0,,,,A,WC2,O'z,2024-03-18,2.0-5.0-3.0,4.0-4.0-2.0,PC,86,14.653338006231246
13,2024-03-15 20:00:00,Match 1 in round II of World Cup,Argentina,14.308118693167138,19.36894787359293,18.594189958649213,12.91263191572862,12.5,14.5,13.25,10.75,18.75,18.0,12.5,10.25,8.0,Play creatively,26,13.75,100,2.0,3,2.0,5.0,3.0,,,,H,Senegal,10.0,21.75,29.5,23.0,7.25,7.25,8.25,12.5,7.75,Pressing,18,15.0,-100,0.8,0,4.0,5.0,1.0,,,,A,WC2,Sen,2024-03-15,2.0-5.0-3.0,4.0-5.0-1.0,PC,86,14.308118693167138
14,2024-03-08 20:00:00,Match 10 in round I of World Cup,Argentina,15.108973913183794,13.241978468641893,13.72350495841069,12.2789254891043,13.25,19.0,19.25,19.0,13.75,14.25,12.75,11.5,8.5,Play creatively,26,14.5,-100,1.5,1,3.0,5.0,2.0,,,,A,Oman,9.5,24.75,27.75,25.5,8.5,5.0,14.5,12.5,8.25,Counter-attacks,22,15.0,-100,0.9,1,5.0,4.0,1.0,,,,H,WC1,Oma,2024-03-08,3.0-5.0-2.0,5.0-4.0-1.0,PC,86,15.108973913183794
15,2024-03-01 20:00:00,Match 9 in round I of World Cup,Argentina,14.980958821794413,13.380630177723187,13.6239143627727,13.380630177723187,15.75,19.25,19.0,19.25,13.75,14.0,13.75,11.75,8.5,(no tactic),0,15.5,0,1.8,3,3.0,5.0,2.0,,,,H,Sri Lanka,10.5,24.0,22.0,21.5,13.75,12.5,9.5,12.25,9.5,Counter-attacks,19,14.75,-100,1.3,1,4.0,4.0,2.0,,,,A,WC1,Sri,2024-03-01,3.0-5.0-2.0,4.0-4.0-2.0,N,86,14.980958821794413
