,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,HomeOrAway_
0,2023-11-03 20:00:00,Round 1 in Europe Cup,Rossiya,5.607476635514018,6.0,23.75,21.25,23.75,19.0,9.0,18.75,11.25,7.5,Counter-attacks,24,15.0,0,1.8,A,San Marino,11.25,15.75,15.0,16.0,11.25,11.75,10.25,9.5,7.0,Normal,,11.25,-50,0.9,H
1,2023-10-27 20:00:00,Friendly match,Rossiya,12.365591397849462,11.5,16.5,16.25,12.75,16.5,17.0,9.0,9.75,6.75,Normal,(no tactic),12.25,0,2.1,A,Kazakhstan,8.5,21.75,19.25,20.0,9.0,8.25,14.0,10.0,7.0,Long shots,7,12.75,-100,0.8,H
2,2023-10-20 20:00:00,Friendly match,Rossiya,10.39064,6.5,19.25,23.75,22.5,7.5,11.0,15.25,9.75,6.5,Counter-attacks,21,11.25,-100,1.0,H,Barbados,9.75,18.75,17.75,16.5,12.0,13.75,12.25,10.25,8.75,Normal,(no tactic),11.0,0,1.7,A
3,2023-10-13 20:00:00,Friendly match,Rossiya,23.37894,9.75,17.5,19.0,19.25,12.25,12.0,13.5,10.0,5.75,Normal,,11.25,0,0.7,H,Indonesia,7.75,22.25,22.5,21.0,12.75,10.5,12.0,12.5,8.75,Counter-attacks,17,12.75,-80,0.7,A
4,2023-10-06 20:00:00,Friendly match,Rossiya,14.061407407407408,9.5,15.75,14.25,16.5,16.25,14.25,14.25,9.25,6.25,Normal,,10.5,0,2.9,H,Angola,11.0,10.0,12.0,12.0,8.75,16.25,16.25,11.0,9.5,Play creatively,24,13.5,80,3.3,A
5,2023-09-29 20:00:00,Friendly match,Rossiya,8.333333333333334,6.75,17.75,20.5,19.75,13.75,10.5,12.0,9.75,5.75,Counter-attacks,"divine (+1)
divine (+1)",11.25,0,1.5,A,Lëtzebuerg,10.0,13.75,13.5,15.5,12.75,13.75,13.75,9.0,6.75,Pressing,7,10.25,0,1.3,H
6,2023-09-22 20:00:00,Friendly match,Rossiya,8.753176991150442,8.25,18.75,20.25,17.5,9.25,7.25,11.75,9.75,5.75,Counter-attacks,22,12.0,0,0.5,H,Al Maghrib,4.75,24.0,27.75,24.0,10.5,6.5,9.5,12.0,7.5,Counter-attacks,"divine (+3)
divine (+3)",10.0,-100,0.6,A
7,2023-09-15 20:00:00,Friendly match,Rossiya,6.812045454545454,8.75,16.75,18.0,15.25,9.75,8.25,11.5,9.25,5.75,Normal,,11.75,0,1.0,H,Ecuador,9.25,12.75,18.75,13.75,12.5,16.5,12.75,10.25,8.25,Normal,Style of play,13.25,0,2.0,A
8,2023-09-08 20:00:00,Friendly match,Rossiya,8.268413793103448,8.0,16.75,19.0,16.0,8.5,12.25,14.25,9.5,5.75,Normal,,11.75,0,1.4,H,Iran,8.25,15.0,14.75,17.0,9.0,14.5,11.5,10.5,8.5,Normal,Style of play,10.25,0,1.3,A
9,2023-09-01 20:00:00,Friendly match,Rossiya,4.2818571428571435,3.5,14.75,15.5,15.25,15.0,15.25,10.25,9.25,6.25,Normal,,11.5,0,0.7,H,Srbija,5.25,19.5,20.75,18.5,9.5,9.25,9.0,9.5,7.25,Counter-attacks,20,10.75,-100,1.9,A
10,2023-08-25 20:00:00,Match 6 in round II of World Cup,Rossiya,5.722118181818182,5.25,25.75,22.25,23.75,16.5,15.5,8.5,10.75,8.5,Counter-attacks,23,17.75,-100,1.0,H,Mongol Uls,11.75,21.75,21.0,19.0,12.75,11.5,12.25,11.5,8.25,Counter-attacks,divine,13.75,-100,1.0,A
11,2023-08-18 20:00:00,Match 5 in round II of World Cup,Rossiya,19.891172727272725,18.25,13.75,12.75,10.5,17.75,18.75,12.75,10.25,9.0,Normal,,17.5,70,2.1,H,Belgium,7.25,25.25,23.75,25.25,17.0,7.5,18.75,12.0,8.75,Counter-attacks,21,14.0,-100,1.8,A
12,2023-08-14 20:00:00,Match 4 in round II of World Cup,Rossiya,16.346153846153847,17.0,11.25,14.75,13.0,12.0,16.75,15.0,10.25,8.25,Normal,Style of play,17.0,50,1.6,A,Brasil,16.0,18.0,19.0,18.25,15.0,14.5,15.25,12.25,8.75,Normal,,16.25,30,2.6,H
13,2023-08-11 20:00:00,Match 3 in round II of World Cup,Rossiya,8.934259615384615,7.75,26.25,24.75,25.75,13.25,6.5,15.25,11.25,6.75,Counter-attacks,22,17.25,-100,0.9,H,Brasil,14.25,13.5,16.5,18.5,14.75,17.25,15.75,11.5,8.25,Normal,(no tactic),16.25,-10,1.4,A
14,2023-08-07 20:00:00,Match 2 in round II of World Cup,Rossiya,5.434782608695652,5.0,24.5,23.5,21.25,18.5,15.5,7.75,10.75,8.25,Counter-attacks,23,16.75,-100,1.2,A,Belgium,13.0,17.5,19.5,19.25,12.5,13.25,14.0,11.0,8.25,Normal,,12.75,60,1.9,H
15,2023-08-04 20:00:00,Match 1 in round II of World Cup,Rossiya,15.517241379310345,13.5,19.0,20.0,15.25,13.0,12.0,10.25,10.75,6.25,Normal,Style of play,15.25,0,2.8,A,Mongol Uls,10.75,13.5,12.0,13.25,13.0,18.0,14.5,9.75,8.25,Normal,,13.25,60,1.4,H
16,2023-07-28 20:00:00,Match 10 in round I of World Cup,Rossiya,11.291198630136988,13.75,16.75,16.75,17.25,13.25,12.5,21.5,10.25,6.25,Normal,,15.25,50,3.3,H,Malta,13.75,13.75,13.5,10.75,15.5,18.0,12.5,10.5,9.0,Normal,Style of play,12.25,30,2.4,A
17,2023-07-21 20:00:00,Match 9 in round I of World Cup,Rossiya,16.826923076923077,17.5,15.0,14.75,11.5,18.0,15.0,11.75,10.5,6.75,Normal,Style of play,14.75,100,2.4,A,Bénin,17.5,15.75,14.5,12.5,14.25,15.75,12.5,10.75,8.25,Normal,,14.75,20,2.7,H
18,2023-07-14 20:00:00,Match 8 in round I of World Cup,Rossiya,14.518171875,15.5,21.5,18.5,18.5,19.0,6.75,13.75,11.0,5.75,Normal,,14.25,0,1.1,H,Cuba,10.5,22.0,25.5,21.75,12.75,11.5,12.75,11.75,9.0,Counter-attacks,18,18.75,-100,0.8,A
19,2023-07-07 20:00:00,Match 7 in round I of World Cup,Rossiya,6.590909090909091,7.25,28.0,26.0,26.75,7.5,5.75,19.75,11.5,6.5,Counter-attacks,25,14.0,-100,1.1,A,Lubnan,16.75,14.5,13.5,11.0,16.25,17.75,12.5,11.75,10.5,Normal,,18.75,100,1.9,H
20,2023-06-30 20:00:00,Match 6 in round I of World Cup,Rossiya,17.438836363636362,16.0,17.75,18.5,16.0,17.5,13.5,10.75,10.0,7.25,Normal,,13.25,30,2.1,H,Al Iraq,12.0,18.75,20.0,19.25,10.25,12.25,11.0,12.0,9.0,Normal,Style of play,19.5,-100,1.1,A
21,2023-06-23 20:00:00,Match 5 in round I of World Cup,Rossiya,7.2727272727272725,8.0,24.25,24.0,26.5,6.75,8.75,21.25,11.25,7.25,Counter-attacks,25,13.5,-100,1.0,A,Malta,14.75,17.0,16.75,17.25,14.5,13.75,14.75,11.25,8.75,Normal,,13.5,30,1.5,H
22,2023-06-16 20:00:00,Match 4 in round I of World Cup,Rossiya,22.47975,17.25,16.25,14.25,9.75,22.0,18.25,13.25,10.0,7.25,Normal,,15.25,100,3.2,H,Bénin,14.75,17.25,15.5,13.75,14.0,14.5,14.0,11.25,8.25,Normal,Style of play,15.75,10,2.0,A
23,2023-06-09 20:00:00,Match 3 in round I of World Cup,Rossiya,7.851239669421488,9.5,24.75,19.75,24.5,16.75,9.5,17.75,10.25,6.0,Counter-attacks,20,15.5,-100,1.6,A,Cuba,13.75,15.25,15.25,15.25,13.5,13.0,16.0,11.5,8.75,Normal,,18.25,20,1.3,H
24,2023-06-05 20:00:00,Match 2 in round I of World Cup,Rossiya,15.29234693877551,12.5,16.5,19.25,18.0,10.75,12.75,17.75,10.5,7.25,Normal,,12.25,0,2.2,H,Lubnan,13.25,14.75,13.25,13.5,14.5,18.5,12.75,11.25,10.5,Normal,Style of play,15.75,0,1.8,A
25,2023-06-02 20:00:00,Match 1 in round I of World Cup,Rossiya,6.25,5.75,24.25,25.0,26.0,9.25,8.0,21.25,11.0,7.0,Counter-attacks,24,13.5,-100,1.1,A,Al Iraq,12.0,17.0,16.25,16.75,13.0,14.25,12.75,11.25,8.25,Normal,,17.5,0,1.2,H
26,2023-05-26 20:00:00,Friendly match,Rossiya,12.333333333333334,9.25,13.0,16.75,16.5,8.25,15.75,15.25,9.75,8.0,Normal,(no tactic),10.5,0,1.7,A,Srbija,6.5,21.25,20.75,20.0,7.25,5.25,7.75,9.5,8.5,Counter-attacks,21,11.0,-100,0.7,H
27,2023-05-19 20:00:00,Friendly match,Rossiya,4.285714285714286,4.5,24.0,26.5,24.75,10.75,9.75,6.5,10.25,7.25,Counter-attacks,23,10.75,-100,1.8,A,Argentina,3.0,15.75,15.25,16.5,12.5,11.5,15.0,9.75,7.0,Normal,,9.75,0,0.5,H
28,2023-05-12 20:00:00,Round 10 in Europe Cup,Rossiya,5.530973451327434,6.25,28.5,29.0,27.5,7.25,5.0,18.75,12.0,6.75,Counter-attacks,23,13.5,-100,0.7,A,Norge,17.0,15.75,12.75,15.25,16.75,20.25,16.75,11.25,9.5,Normal,,15.75,30,1.5,H
29,2023-05-05 20:00:00,Round 9 in Europe Cup,Rossiya,8.211780821917808,10.0,21.0,19.0,19.75,20.5,12.0,18.0,10.75,7.5,Counter-attacks,19,15.75,0,1.9,H,Shqiperia,16.0,15.5,16.75,16.0,11.25,12.0,10.75,11.5,8.5,Normal,(no tactic),15.5,0,1.8,A
30,2023-04-28 20:00:00,Round 8 in Europe Cup,Rossiya,17.166354545454546,15.75,15.75,15.5,16.0,18.5,13.25,20.0,10.0,6.0,Normal,,15.25,100,2.6,H,Malta,16.25,17.0,16.25,16.75,14.0,15.0,15.0,11.75,8.75,Normal,Style of play,13.75,10,2.3,A
31,2023-04-21 20:00:00,Round 7 in Europe Cup,Rossiya,13.863636363636363,15.25,19.25,19.5,20.25,16.0,10.25,16.5,10.25,6.0,Normal,Style of play,14.75,-60,1.3,A,Portugal,17.0,18.75,17.5,15.25,14.75,16.25,14.25,12.25,9.75,Normal,,11.75,0,1.9,H
32,2023-04-14 20:00:00,Round 6 in Europe Cup,Rossiya,10.879088888888889,12.25,14.75,13.75,15.75,21.25,16.25,21.5,9.75,6.5,Normal,,14.75,100,2.1,H,San Marino,11.75,18.5,21.5,18.75,4.5,5.75,4.25,9.25,6.0,Pressing,10,7.75,-100,0.4,A
33,2023-04-07 20:00:00,Round 5 in Europe Cup,Rossiya,13.17778448275862,12.75,24.0,23.75,23.5,17.5,6.75,13.25,10.75,5.75,Normal,,14.5,0,1.0,H,Norge,17.0,18.75,18.75,18.75,13.25,13.25,12.75,11.75,9.0,Normal,Style of play,12.5,-100,1.3,A
34,2023-04-03 20:00:00,Round 4 in Europe Cup,Rossiya,10.560344827586206,12.25,14.0,12.25,14.25,16.5,17.5,21.25,9.5,6.75,Normal,(no tactic),14.5,100,2.8,A,Shqiperia,7.75,19.25,21.25,19.5,13.0,11.75,13.0,11.5,8.75,Counter-attacks,18,15.0,-70,1.3,H
35,2023-03-31 20:00:00,Round 3 in Europe Cup,Rossiya,5.46875,7.0,23.75,21.25,22.5,21.0,14.75,8.25,10.5,6.75,Counter-attacks,22,14.75,0,1.2,A,Malta,16.25,17.0,16.75,17.25,14.5,13.5,12.25,12.25,8.75,Normal,,12.0,30,1.7,H
36,2023-03-27 20:00:00,Round 2 in Europe Cup,Rossiya,16.20988775510204,13.25,22.5,20.0,20.0,16.25,7.25,8.75,11.0,5.5,Normal,,14.0,0,1.6,H,Portugal,12.25,8.0,15.0,19.25,10.25,19.75,16.75,11.5,10.0,Normal,Style of play,15.0,30,1.5,A
37,2023-03-24 20:00:00,Round 1 in Europe Cup,Rossiya,10.054347826086957,9.25,19.0,18.75,18.25,14.0,11.25,18.0,10.0,6.0,Counter-attacks,19,14.0,0,2.1,A,San Marino,9.75,17.25,16.5,15.0,6.5,10.5,10.25,8.75,7.0,Normal,,8.25,-100,0.8,H
38,2023-03-17 20:00:00,Friendly match,Rossiya,14.801481481481481,10.0,15.25,16.75,20.25,13.25,11.5,17.0,10.0,8.0,Play creatively,21,13.75,0,4.1,H,Hayastan,6.75,16.25,14.5,15.0,14.25,15.25,13.5,10.75,8.75,Normal,(no tactic),14.25,0,1.3,A
39,2023-03-10 20:00:00,Friendly match,Rossiya,12.962962962962964,10.5,19.0,20.0,17.5,12.5,7.5,12.25,11.25,7.25,Play creatively,divine,13.25,0,2.0,A,Hayastan,6.0,17.5,19.25,16.0,11.5,5.75,4.25,9.5,7.25,Counter-attacks,19,10.75,-100,0.6,H
