,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-08-15 20:00:00,90,Friendly,,,,,Schweiz,14.25,17.75,16.5,15.5,14.5,14.75,14.25,9.25,12.25,Play creatively,23,0,3-5-2,3,5,2,3,-1,13,UQEUEQUHHQQEWU,0,A,Turkiye,6.5,19.25,24.25,19.75,9.0,13.75,8.0,8.25,11.5,Play creatively,20,0,5-2-3,5,2,3,1,-10,12,ZQPQPQEEQQEQPQ,2000201100,H,Tur,2025-08-15,PC,F,,PC,NN-N-NNNNNN-NN
1,2025-08-08 20:00:00,90,World Cup,16.197,12.7724,13.2368,13.469,Schweiz,11.25,20.25,23.5,20.5,13.75,14.25,14.5,8.75,12.0,Counter-attacks,18,0,4-4-2,4,4,2,1,-8,16,UUQEUQQEQHQPEQ,3000000,N,Chile,15.25,13.5,12.5,6.25,16.75,19.0,12.25,11.75,12.5,Attack in the middle,24,0,2-5-3,2,5,3,3,10,18,ZZUEEEQHHHUTWH,1130003200,A,Chi,2025-08-08,CA,WC5,16.196951723114275,442ca,NNN-NMN-NNNN-N
2,2025-08-04 20:00:00,90,World Cup,20.2637,17.9693,19.6244,13.0041,Schweiz,16.75,17.0,15.25,10.0,19.0,20.75,13.75,9.25,11.25,Normal,0,0,2-5-3,2,5,3,4,10,15,UUEUEEHUHHQUWU,3000,N,Nederland,11.5,23.25,25.25,22.5,14.25,13.5,13.0,10.5,13.5,Counter-attacks,21,0,4-4-2,4,4,2,2,-10,16,UZUEUHQQQEUPEQ,300000,H,Ned,2025-08-04,N,WC5,20.2636531818205,att,NN-N--NNNNMNNN
3,2025-08-01 20:00:00,90,World Cup,17.2647,13.2258,11.8576,13.2258,Schweiz,12.25,16.75,16.75,17.75,14.5,13.0,14.5,7.75,11.25,Normal,0,0,3-5-2,3,5,2,0,2,15,UQEQEUHUHHQUPE,10000,N,Espana,6.0,26.25,26.75,26.0,17.75,7.25,14.75,10.0,13.25,Counter-attacks,24,0,5-3-2,5,3,2,1,-10,16,UHHUHUQUEEQUEQ,3402044044,A,Esp,2025-08-01,N,WC5,17.264694493534464,bal,NN-N-NNNONNNN-
4,2025-07-25 20:00:00,90,World Cup,13.7862,13.3189,12.2272,12.8822,Schweiz,10.0,22.0,24.0,22.5,15.25,14.0,14.75,8.25,12.0,Counter-attacks,17,0,4-4-2,4,4,2,2,-10,16,UUQEUUQUEUQUPE,43000000,N,ÄŒeskÃ¡ republika,12.75,18.75,15.25,18.5,20.0,9.5,19.5,10.25,12.0,Attack in wings,22,0,3-5-2,3,5,2,3,0,17,UQEUEUQQUUQUEU,404044,A,ÄŒes,2025-07-25,CA,WC4,13.786151848063344,442ca,NNN-WMNN-NNNN-
5,2025-07-21 20:00:00,90,World Cup,18.9067,12.565,13.4625,12.565,Schweiz,16.5,20.5,20.25,19.75,14.0,15.0,14.0,8.5,11.75,Normal,0,0,3-5-2,3,5,2,2,-6,15,UUEQEUQUUHQUEU,3000300,N,Uruguay,16.25,14.25,11.25,14.25,18.75,21.75,18.5,8.5,10.0,Normal,0,0,2-5-3,2,5,3,0,10,17,ZUEEEQQHTHUUPQ,100000,H,Uru,2025-07-21,N,WC4,18.906700584403456,AoD,NN-N-NMNNNMN-N
6,2025-07-18 20:00:00,90,World Cup,13.1155,13.2566,13.028,13.9423,Schweiz,9.75,23.0,23.5,21.75,14.5,14.25,15.25,8.5,12.0,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,15,UUUEQUQEHUQUPE,3400010000,N,Shqiperia,14.75,15.75,14.5,14.5,13.75,16.0,12.75,9.75,12.0,Normal,0,0,3-5-2,3,5,2,0,0,18,ZUEHEHQQHTHWEU,103010300,A,Shq,2025-07-18,CA,WC4,13.115451031046486,442ca,NMW-NNN-ONNNN-
7,2025-07-11 20:00:00,90,World Cup,11.218,12.9197,7.2263,13.5766,Schweiz,8.0,24.25,28.25,25.5,14.75,8.25,15.5,9.25,12.5,Counter-attacks,22,0,5-3-2,5,3,2,2,-10,14,ZUUQQUQEHEQUEU,2000000044,N,Brasil,15.75,12.0,15.25,15.25,13.75,20.0,20.25,10.25,11.25,Normal,0,0,2-5-3,2,5,3,0,6,15,ZEHEEZQHHQQQQW,30043000,A,Bra,2025-07-11,CA,WC3,11.217999132176791,hardca,NDNNNNN-N-NW-W
8,2025-07-07 20:00:00,90,World Cup,12.0384,13.4539,8.8933,12.9978,Schweiz,8.75,23.75,25.75,23.75,14.75,9.75,14.25,8.5,12.0,Counter-attacks,18,0,4-4-2,4,4,2,3,-8,14,UUQEUUQHUEQWEU,43010000,N,Shqiperia,15.5,15.5,16.25,16.75,12.75,15.5,13.75,9.25,12.25,Normal,0,0,3-5-2,3,5,2,0,-1,17,ZHEHEUHTpQQUEP,103021300,H,Shq,2025-07-07,CA,WC3,12.03837059685248,442ca,NNN-WMNON-NN-N
9,2025-07-04 20:00:00,90,World Cup,16.2545,13.5652,14.0412,13.5652,Schweiz,12.0,18.75,19.25,19.0,14.25,14.75,14.25,8.25,11.75,Normal,0,0,3-5-2,3,5,2,3,-2,15,UUEQEUQUHUQPUE,3000300,N,China,11.75,14.5,17.0,18.0,13.75,16.75,14.5,9.5,11.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZHEUEQQHUTQHQE,3000300,A,Chi,2025-07-04,N,WC3,16.254525377300656,bal,NN-N-NMNNNMNN-
