,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,scaled_midfield
0,2023-12-08 20:00:00,Round 8 in Europe Cup,Slovensko,16.689696205770126,14.0,17.25,16.75,17.25,14.75,16.0,14.75,13.25,10.75,(no tactic),0,13.5,10,2.1,3,5,2,A,San Marino,12.5,17.75,21.25,19.75,8.25,6.75,6.75,10.0,6.25,(no tactic),0,11.0,-100,0.7,4,5,1,H,CC,San,2023-12-08,3-5-2,4-5-1,N,16.689696205770126
1,2023-12-01 20:00:00,Round 7 in Europe Cup,Slovensko,14.537965396223981,14.0,15.25,12.75,15.0,16.75,19.75,16.5,12.75,11.25,(no tactic),0,14.5,50,2.1,2,5,3,H,Andorra,11.5,21.25,24.25,20.75,8.5,8.0,8.25,11.75,8.5,Pressing,11,11.5,-100,0.5,4,5,1,A,CC,And,2023-12-01,2-5-3,4-5-1,N,14.537965396223981
2,2023-11-24 20:00:00,Round 6 in Europe Cup,Slovensko,17.060754598118017,16.75,19.25,18.75,19.25,12.75,13.75,12.75,13.0,10.25,(no tactic),0,14.0,-80,1.3,3,5,2,A,Belarus,6.5,25.5,23.25,24.5,19.0,7.25,15.5,12.25,8.5,Counter-attacks,23,13.5,-100,0.8,5,3,2,H,CC,Bel,2023-11-24,3-5-2,5-3-2,N,17.060754598118017
3,2023-11-17 20:00:00,Round 5 in Europe Cup,Slovensko,9.822519249625783,8.25,25.25,21.5,26.0,19.0,7.75,18.0,13.5,10.0,Counter-attacks,23,15.0,-100,1.8,5,3,2,A,Rossiya,16.25,16.25,13.5,11.75,22.0,17.5,13.75,9.75,6.75,(no tactic),0,15.25,30,2.0,2,5,3,H,CC,Ros,2023-11-17,5-3-2,2-5-3,CA,9.822519249625783
4,2023-11-13 20:00:00,Round 4 in Europe Cup,Slovensko,15.400168487291392,18.5,18.25,18.5,18.75,12.75,14.25,13.25,13.0,10.25,(no tactic),0,14.75,-100,1.4,3,5,2,H,England,12.25,23.25,25.25,23.75,12.75,12.25,13.0,13.25,10.0,Counter-attacks,20,14.25,-100,1.1,4,4,2,A,CC,Eng,2023-11-13,3-5-2,4-4-2,N,15.400168487291392
5,2023-11-10 20:00:00,Round 3 in Europe Cup,Slovensko,14.226758512143942,13.75,15.5,13.0,15.5,16.0,18.5,16.0,12.5,10.75,(no tactic),0,15.25,30,2.5,2,5,3,H,San Marino,12.5,18.5,20.0,19.25,8.75,7.0,7.0,10.25,7.0,(no tactic),0,10.25,-100,0.8,4,5,1,A,CC,San,2023-11-10,2-5-3,4-5-1,N,14.226758512143942
6,2023-11-06 20:00:00,Round 2 in Europe Cup,Slovensko,16.131560058195955,12.0,18.25,17.5,18.25,13.75,14.25,13.75,12.75,9.5,(no tactic),0,15.75,-20,1.9,3,5,2,A,Andorra,9.0,19.75,20.75,19.75,10.0,12.75,13.5,10.5,8.25,Counter-attacks,17,11.0,-100,0.9,4,4,2,H,CC,And,2023-11-06,3-5-2,4-4-2,N,16.131560058195955
7,2023-11-03 20:00:00,Round 1 in Europe Cup,Slovensko,14.769636480981509,12.0,17.75,17.25,17.75,14.0,14.75,14.0,12.75,9.5,(no tactic),0,15.5,0,1.7,3,5,2,H,Belarus,10.5,20.5,20.75,19.25,11.75,14.25,12.25,11.75,9.25,(no tactic),0,12.25,-100,0.7,3,5,2,A,CC,Bel,2023-11-03,3-5-2,3-5-2,N,14.769636480981509
8,2023-10-27 20:00:00,Friendly match,Slovensko,,10.0,23.75,27.75,23.75,4.25,7.5,7.0,12.0,8.25,(no tactic),0,14.25,-100,1.1,5,4,1,H,Bulgaria,4.5,19.25,19.25,18.5,7.0,8.5,19.75,10.0,7.0,Counter-attacks,15,8.75,0,0.6,4,4,2,A,F,Bul,2023-10-27,5-4-1,4-4-2,N,
9,2023-10-20 20:00:00,Friendly match,Slovensko,,11.0,20.25,24.0,22.25,10.25,8.0,11.25,12.25,7.75,(no tactic),0,11.75,-100,1.4,4,5,1,A,Shqiperia,9.75,15.5,12.25,14.25,13.5,14.75,13.0,9.75,7.5,(no tactic),0,10.0,0,1.0,2,5,3,H,F,Shq,2023-10-20,4-5-1,2-5-3,N,
