,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,Viá»‡t Nam,13.35760075816853,10.62978916652766,11.135969603028975,10.62978916652766,12.75,18.0,18.25,18.5,10.5,11.0,10.5,11.5,8.5,(no tactic),0,12.75,-100,1.6,2,3,5.0,2,,H,Brunei,13.0,13.75,14.75,15.25,11.75,14.5,13.25,10.5,7.5,(no tactic),0,13.75,0,1.4,1,3,5.0,2,,A,CC,Bru,2024-06-24,3-5.0-2,3-5.0-2,N,88,13.35760075816853
1,2024-06-21 12:00:00,Round 3 in Asia and Oceania Cup,Viá»‡t Nam,14.519311597657804,15.573271532869361,14.337297601689253,12.606934098037101,13.5,16.5,14.75,14.0,15.75,14.5,12.75,11.25,9.0,(no tactic),0,12.75,0,1.8,1,3,5.0,2,,A,Pilipinas,13.0,17.25,19.0,19.0,11.5,11.5,14.75,12.25,8.75,(no tactic),0,13.5,20,1.8,2,3,5.0,2,,H,CC,Pil,2024-06-21,3-5.0-2,3-5.0-2,N,88,14.519311597657804
2,2024-06-17 12:00:00,Round 2 in Asia and Oceania Cup,Viá»‡t Nam,13.80789902179407,9.592610637041165,10.111130130935283,12.70372760040587,10.25,19.25,20.75,20.5,9.25,9.75,12.25,11.75,8.75,(no tactic),0,13.0,-100,1.2,4,3,5.0,2,,A,Mongol Uls,11.5,16.0,14.75,14.0,15.0,14.5,13.75,10.75,8.5,(no tactic),0,12.0,100,1.5,0,3,5.0,2,,H,CC,Mon,2024-06-17,3-5.0-2,3-5.0-2,N,88,13.80789902179407
3,2024-06-14 12:00:00,Round 1 in Asia and Oceania Cup,Viá»‡t Nam,13.411494404030684,11.046091994509705,15.517129230382684,16.56913799176456,10.75,12.25,13.75,15.5,10.5,14.75,15.75,11.0,9.25,(no tactic),0,14.0,0,1.7,2,2,5.0,3,,H,Bahrain,8.25,21.25,20.5,21.0,12.5,11.75,11.5,10.75,7.25,Counter-attacks,19,14.5,-100,2.1,1,4,4.0,2,,A,CC,Bah,2024-06-14,2-5.0-3,4-4.0-2,N,88,13.411494404030684
4,2024-06-07 20:00:00,Friendly match,Viá»‡t Nam,,,,,8.25,10.5,13.0,9.75,11.75,16.75,11.5,10.25,8.0,Attack in the Middle,23,10.5,30,1.7,1,2,5.0,3,,H,United Arab Emirates,8.25,16.75,18.0,18.0,11.75,11.25,12.0,9.5,6.75,(no tactic),0,9.0,0,3.0,5,3,5.0,2,,A,F,Uni,2024-06-07,2-5.0-3,3-5.0-2,AIM,88,
5,2024-05-31 20:00:00,Friendly match,Viá»‡t Nam,,,,,7.5,18.0,20.0,19.0,13.0,12.75,12.25,11.0,7.75,(no tactic),0,11.0,0,1.3,0,4,4.0,2,,A,Paraguay,9.75,15.25,15.0,13.5,12.25,13.75,16.5,11.5,10.0,(no tactic),0,15.5,100,2.3,3,3,5.0,2,,H,F,Par,2024-05-31,4-4.0-2,3-5.0-2,N,88,
6,2024-05-24 20:00:00,Friendly match,Viá»‡t Nam,,,,,7.5,22.25,25.25,24.5,9.5,9.25,9.25,11.25,7.75,(no tactic),0,11.0,0,5.0,7,4,4.0,2,,A,Bolivia,5.0,8.75,10.75,9.75,8.25,5.5,7.25,8.0,7.25,Attack on wings,20,8.0,80,0.3,0,5,4.0,1,,H,F,Bol,2024-05-24,4-4.0-2,5-4.0-1,N,86,
7,2024-05-17 20:00:00,Friendly match,Viá»‡t Nam,,,,,7.5,16.5,18.25,17.25,12.25,14.0,13.75,11.25,7.25,(no tactic),0,9.75,100,0.8,0,4,4.0,2,,H,FÃ¸royar,10.0,21.25,19.25,24.0,13.0,8.0,12.0,12.75,7.75,(no tactic),0,9.75,0,1.2,1,4,5.0,1,,A,F,FÃ¸r,2024-05-17,4-4.0-2,4-5.0-1,N,86,
8,2024-05-10 20:00:00,Friendly match,Viá»‡t Nam,,,,,7.0,19.0,21.25,20.25,13.25,13.25,13.0,11.5,8.0,(no tactic),0,11.0,0,0.9,0,4,4.0,2,,H,United Arab Emirates,8.25,19.25,19.0,16.75,12.0,11.0,10.75,9.75,7.25,Counter-attacks,15,8.5,-100,1.0,0,4,3.0,3,,A,F,Uni,2024-05-10,4-4.0-2,4-3.0-3,N,86,
9,2024-05-03 20:00:00,Round 17 in Nations Cup,Viá»‡t Nam,9.267283199040873,11.182875017857496,10.091862820993349,11.728381116289567,11.0,19.0,21.5,18.75,10.25,9.25,10.75,11.75,7.0,(no tactic),0,10.75,0,0.6,0,4,5.0,1,,H,Puerto Rico,6.25,23.5,23.75,24.5,10.5,5.0,15.0,11.5,7.75,Counter-attacks,21,13.5,-100,0.8,1,5,3.0,2,,A,NC,Pue,2024-05-03,4-5.0-1,5-3.0-2,N,86,9.267283199040873
10,2024-04-26 20:00:00,Round 16 in Nations Cup,Viá»‡t Nam,8.575253860433847,11.633410027740368,11.633410027740368,12.71558770473947,6.0,23.0,26.0,22.25,10.75,10.75,11.75,11.75,7.25,(no tactic),0,11.25,-100,0.6,0,5,3.0,2,,A,Kenya,11.75,14.0,11.75,14.5,15.25,18.75,18.75,10.25,8.0,(no tactic),0,12.75,90,2.2,1,3,4.0,3,,H,NC,Ken,2024-04-26,5-3.0-2,3-4.0-3,N,86,8.575253860433847
