,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,forward_number_,HomeOrAway_
0,2023-11-10 20:00:00,Round 3 in Europe Cup,Belarus,15.04197896222011,15.0,18.25,18.25,17.5,13.75,16.5,14.25,11.75,9.25,(no tactic),0,12.25,10,2.2,3,5,2,A,England,14.5,17.25,15.75,16.25,15.0,15.25,14.5,11.75,9.25,(no tactic),0,14.25,30,1.7,3,5,2,H
1,2023-11-06 20:00:00,Round 2 in Europe Cup,Belarus,11.876286007706984,11.5,16.0,14.75,16.75,14.5,18.25,15.0,11.5,9.25,(no tactic),0,11.5,50,2.8,3,5,2,H,San Marino,11.25,15.75,15.5,16.5,10.5,11.5,10.0,9.25,7.0,(no tactic),0,11.0,-100,1.2,3,5,2,A
2,2023-11-03 20:00:00,Round 1 in Europe Cup,Belarus,13.848430631522207,10.5,20.5,20.75,19.25,11.75,14.25,12.25,11.75,9.25,(no tactic),0,12.25,-100,0.7,3,5,2,A,Slovensko,12.0,17.75,17.25,17.75,14.0,14.75,14.0,12.75,9.5,(no tactic),0,15.5,0,1.7,3,5,2,H
3,2023-10-27 20:00:00,Friendly match,Belarus,13.000567531633093,6.75,23.25,27.25,22.25,9.25,8.75,10.0,11.0,7.25,Counter-attacks,18,10.5,-100,0.8,4,3,3,A,Malaysia,5.75,16.25,18.25,16.5,11.75,10.25,11.5,9.75,6.0,(no tactic),0,9.0,0,0.4,4,4,2,H
4,2023-10-20 20:00:00,Friendly match,Belarus,9.628062569541598,10.75,16.75,16.5,17.25,13.0,16.5,13.25,9.75,7.75,(no tactic),0,9.75,0,2.4,3,5,2,H,Pakistan,9.5,16.25,16.0,16.0,11.25,15.25,8.5,9.75,8.25,(no tactic),0,9.0,-40,1.0,3,4,3,A
5,2023-10-13 20:00:00,Friendly match,Belarus,12.133863029524223,10.0,12.25,9.25,12.75,16.0,22.75,16.0,8.75,9.0,(no tactic),0,10.0,100,3.3,2,5,3,A,Lietuva,11.75,12.0,11.0,12.0,17.25,18.5,17.0,10.25,8.0,Play creatively,23,14.0,100,4.7,3,4,3,H
6,2023-10-06 20:00:00,Friendly match,Belarus,8.746250350281256,7.0,17.25,17.25,16.25,14.75,15.25,15.0,9.75,8.0,(no tactic),0,10.0,0,3.6,4,3,3,H,Saint Vincent and the Grenadines,6.5,15.0,12.25,10.5,13.75,13.75,13.25,9.25,8.25,(no tactic),0,8.0,100,1.4,3,4,3,A
7,2023-09-29 20:00:00,Friendly match,Belarus,7.4967860145267915,6.0,23.5,26.25,24.0,12.25,4.5,6.0,10.75,5.25,Pressing,12,9.5,-100,0.3,5,4,1,H,Sri Lanka,11.25,18.75,20.75,18.25,12.5,12.0,12.75,11.25,8.75,Counter-attacks,15,10.75,0,0.8,4,4,2,A
8,2023-09-22 20:00:00,Friendly match,Belarus,7.280317817714534,4.5,24.5,22.0,22.25,19.25,8.5,11.75,10.25,6.0,Counter-attacks,22,10.0,-100,2.2,5,3,2,A,Venezuela,10.75,10.75,8.75,10.5,16.5,21.0,16.5,9.5,8.25,Play creatively,22,9.25,100,3.2,2,5,3,H
9,2023-09-15 20:00:00,Friendly match,Belarus,13.431741609360502,10.75,17.75,21.0,18.75,9.25,8.75,9.0,9.75,5.75,(no tactic),0,8.5,-100,1.0,4,5,1,H,Portugal,10.5,10.0,15.25,17.0,13.25,20.0,18.25,11.75,9.75,(no tactic),0,12.0,50,2.5,2,5,3,A
10,2023-09-08 20:00:00,Friendly match,Belarus,7.843512367698654,7.75,13.75,11.75,12.5,15.75,18.75,15.5,8.0,6.75,(no tactic),0,8.0,0,1.9,3,4,3,H,Srbija,6.25,19.25,21.0,19.25,8.75,8.75,8.75,9.25,7.0,Counter-attacks,19,9.75,-100,1.2,5,3,2,A
11,2023-09-01 20:00:00,Friendly match,Belarus,6.6736246662383225,5.5,17.0,18.5,17.5,13.25,14.0,12.75,8.5,6.75,Counter-attacks,17,8.0,-100,3.0,4,3,3,A,CuraÃ§ao,5.5,11.25,10.25,11.75,9.25,11.5,9.25,8.5,6.75,Counter-attacks,9,7.25,0,1.0,3,4,3,H
12,2023-08-25 20:00:00,Friendly match,Belarus,9.683348602097105,7.75,24.0,27.5,26.0,7.75,6.25,7.0,11.25,6.0,Pressing,14,7.75,-100,0.3,4,5,1,H,Italia,6.5,17.5,16.75,16.75,23.0,8.75,12.0,11.25,8.25,Counter-attacks,20,10.75,100,0.8,5,3,2,A
13,2023-08-18 20:00:00,Friendly match,Belarus,11.235058360670577,7.5,24.5,28.0,26.0,8.0,6.5,7.0,11.0,5.75,Pressing,14,7.5,-100,0.4,4,5,1,A,Venezuela,8.75,14.5,13.75,14.75,13.75,18.0,14.0,10.0,8.0,Play creatively,21,9.75,0,1.1,3,4,3,H
14,2023-08-11 20:00:00,Friendly match,Belarus,7.280317817714534,4.5,18.5,17.0,18.75,15.25,14.5,13.75,8.5,6.5,Counter-attacks,16,7.5,-100,0.7,4,3,3,A,Eesti,8.0,21.0,21.75,21.5,10.5,8.75,11.0,11.0,7.0,Counter-attacks,18,10.75,-100,1.7,5,4,1,H
15,2023-08-04 20:00:00,Friendly match,Belarus,12.851633167760212,8.0,7.5,10.25,12.0,13.75,21.5,16.75,9.0,7.0,Play creatively,21,9.5,100,2.2,2,5,3,H,Comoros,8.5,20.25,19.0,19.5,9.75,11.75,8.75,11.5,7.5,(no tactic),0,12.75,0,3.4,3,5,2,A
16,2023-07-28 20:00:00,Match 10 in round I of World Cup,Belarus,11.437733457094813,16.5,15.0,13.0,15.0,16.75,19.75,17.5,10.25,9.5,(no tactic),0,17.0,20,1.0,3,5,2,H,Uruguay,15.0,23.75,27.75,22.75,9.25,7.25,8.0,12.25,7.25,Pressing,12,17.0,-100,0.6,4,5,1,A
17,2023-07-21 20:00:00,Match 9 in round I of World Cup,Belarus,8.458702592697174,7.25,22.25,20.0,19.75,20.0,7.75,17.5,11.25,8.0,Counter-attacks,16,13.5,-100,1.3,4,4,2,A,ÄŒeskÃ¡ republika,17.0,15.75,15.75,16.25,12.75,15.0,14.0,13.0,11.25,Play creatively,24,12.25,0,2.8,3,5,2,H
18,2023-07-14 20:00:00,Match 8 in round I of World Cup,Belarus,12.057818912036744,15.25,16.25,15.25,16.25,13.0,15.0,14.25,10.75,8.25,(no tactic),0,13.5,10,1.9,3,5,2,H,Hayastan,10.5,22.5,23.0,23.0,18.5,6.75,8.0,12.75,8.5,Counter-attacks,17,20.75,-100,1.0,4,5,1,A
19,2023-07-07 20:00:00,Match 7 in round I of World Cup,Belarus,5.838842953621828,6.0,24.0,25.75,23.25,16.0,7.0,14.25,12.0,7.75,Counter-attacks,19,13.25,-100,0.7,5,3,2,H,Slovenija,16.0,14.75,17.75,18.25,6.0,9.75,14.75,11.5,9.0,(no tactic),0,13.25,-100,0.6,3,5,2,A
20,2023-06-30 20:00:00,Match 6 in round I of World Cup,Belarus,6.500283765816547,5.25,22.5,22.75,22.25,16.75,11.25,14.5,11.5,8.0,Counter-attacks,18,16.25,-100,1.4,4,3,3,A,Guatemala,11.25,18.0,18.75,18.75,8.5,12.75,15.0,11.25,9.0,Play creatively,21,13.75,-40,2.0,3,4,3,H
21,2023-06-23 20:00:00,Match 5 in round I of World Cup,Belarus,15.167328786905276,14.25,12.0,18.0,18.25,10.5,14.5,13.5,11.5,9.25,(no tactic),0,16.25,10,2.0,3,5,2,A,Uruguay,12.75,17.25,15.5,17.0,17.5,18.5,19.5,11.25,9.75,(no tactic),0,14.0,0,2.2,3,4,3,H
22,2023-06-16 20:00:00,Match 4 in round I of World Cup,Belarus,13.800901526742503,16.5,20.75,17.75,10.5,13.0,14.5,9.75,11.25,9.25,(no tactic),0,13.5,0,1.7,3,5,2,H,ÄŒeskÃ¡ republika,16.25,16.0,16.25,16.25,13.75,14.5,13.75,13.0,11.25,(no tactic),0,11.75,0,2.2,3,5,2,A
23,2023-06-09 20:00:00,Match 3 in round I of World Cup,Belarus,8.04797037672525,6.5,23.0,19.25,23.25,21.25,7.75,19.5,11.0,8.0,Counter-attacks,16,15.5,-100,1.1,4,4,2,A,Hayastan,11.0,19.0,16.75,17.5,20.0,15.25,12.5,11.75,9.25,(no tactic),0,17.75,50,2.4,3,4,3,H
24,2023-06-05 20:00:00,Match 2 in round I of World Cup,Belarus,14.635141811926145,13.75,12.75,12.75,14.25,15.75,20.0,16.75,10.75,9.25,(no tactic),0,15.75,100,2.2,3,5,2,A,Slovenija,15.25,17.0,17.25,17.0,11.75,10.75,12.0,10.75,7.75,(no tactic),0,11.5,0,2.1,3,5,2,H
25,2023-06-02 20:00:00,Match 1 in round I of World Cup,Belarus,7.425485060584281,6.75,24.25,22.25,23.0,17.5,7.25,17.0,11.0,7.25,Counter-attacks,19,14.5,-100,0.8,5,4,1,H,Guatemala,6.0,26.25,24.0,25.5,6.5,8.25,18.75,11.75,8.25,Counter-attacks,21,12.0,-100,0.6,5,3,2,A
26,2023-05-26 20:00:00,Wildcard match 2 in World Cup,Belarus,13.065607592940648,15.75,17.75,18.0,17.75,14.0,15.0,14.25,10.75,8.75,(no tactic),0,14.75,-50,1.0,3,5,2,H,Al Yaman,6.75,30.25,31.25,29.25,5.25,2.0,3.75,12.5,6.5,Pressing,19,12.25,-100,0.1,5,5,0,A
27,2023-05-22 20:00:00,Wildcard match 1 in World Cup,Belarus,6.924215315761104,5.25,23.5,27.5,23.5,15.0,7.25,15.25,10.5,6.0,Counter-attacks,21,16.0,-100,2.1,5,3,2,A,Al Yaman,14.5,5.25,9.25,10.5,11.0,21.0,16.0,9.25,9.0,Attack in the Middle,21,11.75,100,1.8,2,5,3,H
28,2023-05-19 20:00:00,Friendly match,Belarus,6.57842972774726,3.25,14.5,17.0,14.75,9.75,7.5,9.75,10.0,5.25,Play creatively,19,9.5,-100,0.6,5,4,1,H,Kazakhstan,8.0,17.75,16.75,18.0,10.75,10.5,10.75,9.25,7.0,(no tactic),0,8.25,-100,1.6,3,5,2,A
29,2023-05-12 20:00:00,Round 10 in Europe Cup,Belarus,13.681634476511395,18.25,17.25,16.0,16.25,14.0,16.0,14.75,10.0,7.25,(no tactic),0,17.0,10,1.9,3,5,2,H,Hellas,17.75,18.0,18.0,17.75,15.25,16.75,15.0,11.0,8.25,(no tactic),0,15.0,0,2.3,3,5,2,A
30,2023-05-05 20:00:00,Round 9 in Europe Cup,Belarus,6.537641718493655,6.25,22.25,23.25,23.0,18.25,7.0,15.75,10.75,7.25,Counter-attacks,21,16.25,-100,0.9,5,3,2,A,Bulgaria,17.25,18.25,18.25,19.0,14.25,14.25,14.5,12.75,10.0,(no tactic),0,15.0,-20,2.0,3,5,2,H
31,2023-04-28 20:00:00,Round 8 in Europe Cup,Belarus,7.360480814262667,8.0,22.75,18.5,21.5,20.0,8.5,19.5,11.0,7.75,Counter-attacks,16,16.75,-40,1.1,4,4,2,H,Schweiz,13.75,20.0,19.25,20.25,12.75,14.0,12.75,12.5,10.0,(no tactic),0,12.5,-100,1.8,3,5,2,A
32,2023-04-21 20:00:00,Round 7 in Europe Cup,Belarus,11.030784572294747,10.0,14.5,10.75,13.5,18.5,15.25,18.5,10.0,8.5,(no tactic),0,14.75,100,4.1,2,5,3,A,Cyprus,4.75,19.25,22.0,20.0,8.25,8.25,9.0,8.5,5.0,Counter-attacks,17,6.75,-60,0.5,5,3,2,H
33,2023-04-14 20:00:00,Round 6 in Europe Cup,Belarus,7.360480814262667,8.0,20.75,22.75,21.25,17.0,7.25,16.75,11.0,7.75,Counter-attacks,17,13.75,-100,1.1,4,4,2,H,France,16.75,15.75,16.25,17.75,13.5,16.0,14.5,12.25,10.5,(no tactic),0,15.0,-30,1.9,3,5,2,A
34,2023-04-07 20:00:00,Round 5 in Europe Cup,Belarus,8.167023192948996,7.0,21.5,24.25,22.5,17.0,7.75,14.5,11.0,6.75,Counter-attacks,17,15.5,-100,1.0,4,4,2,A,Hellas,14.0,16.75,15.25,16.5,17.25,20.5,18.5,10.0,7.5,(no tactic),0,14.75,20,2.6,3,4,3,H
35,2023-04-03 20:00:00,Round 4 in Europe Cup,Belarus,14.010006095329508,16.75,15.25,15.0,15.75,14.5,15.0,14.25,10.5,8.0,(no tactic),0,13.5,40,1.8,3,5,2,H,Bulgaria,16.25,18.75,16.75,17.5,13.0,14.25,14.5,13.0,10.75,(no tactic),0,14.0,20,2.4,3,5,2,A
36,2023-03-31 20:00:00,Round 3 in Europe Cup,Belarus,13.5377810659981,13.5,17.5,17.5,17.5,13.0,14.0,13.75,10.75,7.75,(no tactic),0,14.5,-20,2.0,3,5,2,A,Schweiz,14.75,11.5,14.0,15.0,13.5,20.0,18.25,11.0,10.25,(no tactic),0,16.0,0,2.6,2,5,3,H
37,2023-03-27 20:00:00,Round 2 in Europe Cup,Belarus,10.069025093490703,9.75,15.5,14.0,16.0,16.5,17.5,16.25,10.75,8.5,(no tactic),0,16.25,0,4.1,3,4,3,H,Cyprus,4.0,17.5,19.75,17.25,11.0,10.25,9.5,8.5,5.0,Counter-attacks,15,6.5,-30,0.4,5,3,2,A
38,2023-03-24 20:00:00,Round 1 in Europe Cup,Belarus,6.924215315761104,5.25,22.0,26.0,22.75,13.75,7.0,18.25,11.25,7.25,Counter-attacks,21,16.75,-100,0.9,5,3,2,A,France,11.5,19.5,18.75,19.0,13.75,14.25,14.25,12.0,10.0,(no tactic),0,14.25,0,2.4,3,5,2,H
39,2023-03-17 20:00:00,Friendly match,Belarus,10.9204767265718,4.5,16.5,19.25,18.5,10.75,8.0,10.0,8.5,5.75,Counter-attacks,15,7.5,-100,2.1,4,3,3,A,Ukraina,6.0,11.5,13.25,10.5,6.0,3.75,5.75,8.25,8.0,(no tactic),0,12.75,-50,0.5,5,4,1,H
40,2023-03-10 20:00:00,Friendly match,Belarus,9.36161153564033,9.25,21.5,22.5,22.0,9.25,7.5,8.75,11.25,8.0,Counter-attacks,18,9.75,-100,1.0,5,5,0,H,Hanguk,8.0,16.5,18.5,12.0,9.0,7.75,7.5,11.25,7.0,Play creatively,20,13.25,0,0.6,4,5,1,A
