,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Midfielder_number,Forward_number,Mid_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Midfielder_number_,Forward_number_,Mid_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2025-01-24 12:00:00,Round 1 in Asia and Oceania Cup,Al Urdun,-1.5272339021399168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,WO,0,-1.0,0,-1.0,0,0,0.0,0,,A,Pakistan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,WO,0,-1.0,0,-1.0,0,0,0.0,0,,H,CC,Pak,2025-01-24,0-nan-0,0-nan-0,WO,90,-1.5272339021399168
1,2025-01-17 20:00:00,Friendly match,Al Urdun,,,,,4.75,17.0,20.25,17.75,11.0,11.5,13.25,9.75,7.0,Counter-attacks,19,10.0,0,1.7,3,5,,2,3.0,H,Trinidad & Tobago,4.75,16.25,17.0,14.25,11.5,12.75,9.25,8.5,7.75,(no tactic),0,8.5,-100,1.0,3,5,,0,5.0,A,F,Tri,2025-01-17,5-3.0-2,5-5.0-0,CA,90,
2,2025-01-10 20:00:00,Friendly match,Al Urdun,,,,,10.5,15.25,16.75,17.5,12.25,12.75,12.25,11.0,8.75,(no tactic),0,12.75,0,2.3,1,3,,2,5.0,A,Rossiya,5.75,16.75,16.75,17.5,8.75,4.5,11.25,11.25,5.75,Counter-attacks,20,9.75,100,0.4,0,5,,1,4.0,H,F,Ros,2025-01-10,3-5.0-2,5-4.0-1,N,90,
3,2025-01-03 20:00:00,Friendly match,Al Urdun,,,,,11.0,19.75,19.5,19.5,10.0,8.25,12.25,10.75,7.0,(no tactic),0,11.0,0,0.6,0,4,,1,5.0,A,Latvija,4.75,24.5,22.25,21.5,16.0,6.75,17.0,11.5,5.75,Counter-attacks,20,8.5,-100,1.0,2,4,,2,4.0,H,F,Lat,2025-01-03,4-5.0-1,4-4.0-2,N,88,
4,2024-12-27 20:00:00,Friendly match,Al Urdun,,,,,10.5,17.5,17.25,17.0,12.0,12.0,11.5,11.5,8.75,(no tactic),0,12.5,0,1.0,0,4,,2,4.0,A,Lëtzebuerg,5.0,21.75,24.75,22.5,13.75,12.0,13.5,10.75,7.5,Counter-attacks,22,10.0,-100,1.1,0,5,,2,3.0,H,F,Lët,2024-12-27,4-4.0-2,5-3.0-2,N,88,
5,2024-12-20 20:00:00,Friendly match,Al Urdun,,,,,10.75,16.75,13.0,16.75,13.25,15.5,13.25,10.0,8.5,(no tactic),0,10.25,0,2.9,2,2,,3,5.0,A,Føroyar,7.75,18.0,18.25,12.25,15.25,15.0,13.75,12.25,10.25,(no tactic),0,12.25,0,1.4,0,4,,3,3.0,H,F,Før,2024-12-20,2-5.0-3,4-3.0-3,N,88,
6,2024-12-13 20:00:00,Friendly match,Al Urdun,,,,,10.0,21.25,19.5,20.25,11.0,7.75,8.75,10.75,7.0,(no tactic),0,9.75,0,1.4,1,4,,1,5.0,A,Bahrain,9.5,13.25,12.25,10.75,15.0,12.5,11.25,9.75,7.25,(no tactic),0,10.0,100,1.0,2,3,,2,5.0,H,F,Bah,2024-12-13,4-5.0-1,3-5.0-2,N,88,
7,2024-12-06 20:00:00,Friendly match,Al Urdun,,,,,9.0,18.75,20.0,19.25,10.5,12.0,12.0,11.5,9.0,(no tactic),0,12.5,0,3.8,3,4,,2,4.0,A,Azerbaycan,4.75,12.0,10.5,12.25,7.75,7.25,7.25,8.0,5.75,(no tactic),0,17.25,0,0.2,0,3,,3,4.0,H,F,Aze,2024-12-06,4-4.0-2,3-4.0-3,N,88,
8,2024-11-29 20:00:00,Friendly match,Al Urdun,,,,,9.0,16.75,18.25,17.25,13.0,12.5,12.75,11.0,9.5,(no tactic),0,13.0,0,1.3,2,4,,2,4.0,H,Algérie,7.75,20.0,19.25,20.5,7.0,13.5,9.25,10.75,8.25,Counter-attacks,21,16.0,-30,1.0,1,5,,2,3.0,A,F,Alg,2024-11-29,4-4.0-2,5-3.0-2,N,88,
9,2024-11-22 20:00:00,Friendly match,Al Urdun,,,,,7.5,15.0,16.25,17.75,9.25,9.0,9.75,10.5,8.5,(no tactic),0,9.75,0,3.7,2,4,,1,5.0,A,Colombia,8.25,6.25,8.0,7.25,8.5,7.75,5.0,7.25,7.75,(no tactic),0,9.5,0,0.4,2,4,,1,5.0,H,F,Col,2024-11-22,4-5.0-1,4-5.0-1,N,88,
10,2024-11-15 20:00:00,Match 6 in round II of World Cup,Al Urdun,13.772161291729088,14.506334204374133,17.9351041072262,12.132570425476548,14.0,14.5,14.25,14.25,13.75,17.0,11.5,11.0,10.25,(no tactic),0,15.25,0,2.6,3,2,,3,5.0,H,Island,15.75,13.25,11.0,13.25,16.5,20.25,16.0,11.0,9.25,(no tactic),0,15.25,100,3.3,4,2,,3,5.0,A,WC2,Isl,2024-11-15,2-5.0-3,2-5.0-3,N,88,13.772161291729088
11,2024-11-08 20:00:00,Match 5 in round II of World Cup,Al Urdun,19.237473439719846,12.916666121400892,19.644096392963856,13.45486054312593,16.5,13.75,15.0,14.0,12.0,18.25,12.5,11.25,10.25,(no tactic),0,13.5,0,1.9,3,2,,3,5.0,A,Ukraina,16.75,18.0,17.0,17.75,13.75,13.0,13.25,11.5,8.0,(no tactic),0,12.5,0,2.2,3,3,,2,5.0,H,WC2,Ukr,2024-11-08,2-5.0-3,3-5.0-2,N,88,19.237473439719846
12,2024-11-04 20:00:00,Match 4 in round II of World Cup,Al Urdun,13.925481520512635,12.170155163568506,13.75756670664266,12.170155163568506,13.75,16.0,16.75,17.5,11.5,13.0,11.5,11.0,8.0,(no tactic),0,16.0,0,0.6,0,3,,2,5.0,H,Chile,8.75,25.5,25.5,22.75,15.5,5.0,17.25,12.75,9.75,Counter-attacks,23,18.5,-100,1.4,2,5,,1,4.0,A,WC2,Chi,2024-11-04,3-5.0-2,5-4.0-1,N,88,13.925481520512635
13,2024-11-01 20:00:00,Match 3 in round II of World Cup,Al Urdun,8.38441745078601,5.279394325153965,9.050390271692512,19.60917892200044,6.25,26.25,25.75,25.75,5.25,9.0,19.5,12.5,8.75,Counter-attacks,21,14.5,-100,0.9,0,5,,2,3.0,A,Chile,12.25,18.0,19.5,20.0,15.0,10.0,21.25,12.5,10.5,(no tactic),0,18.75,50,2.3,3,3,,3,4.0,H,WC2,Chi,2024-11-01,5-3.0-2,3-4.0-3,CA,88,8.38441745078601
