,Match Datetime,Match Type,Team name,scaled midfield,sc_la,sc_ca,sc_ra,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-02-23 20:00:00,Match 8 in round I of World Cup,Guatemala,6.598438833846546,6.820135520306699,11.872087757570918,10.609099698254864,14.75,17.75,16.5,17.5,12.25,18.5,13.25,10.25,8.25,(no tactic),0,15.0,0,1.7,1,3,4,3,H,England,10.75,24.25,22.75,23.0,12.75,12.75,12.5,12.5,10.25,Counter-attacks,18,13.75,-100,1.7,1,4,4,2,A,WC1,Eng,2024-02-23,3-4-3,4-4-2,N,86,6.598438833846546
1,2024-02-16 20:00:00,Match 7 in round I of World Cup,Guatemala,5.5032897642734815,7.369682826863986,7.369682826863986,7.623809820893778,7.5,28.75,29.25,27.25,4.5,4.5,16.0,12.0,6.75,Counter-attacks,23,14.75,-100,0.8,1,5,4,1,A,Suomi,13.75,13.25,9.75,13.25,19.0,20.25,18.75,11.75,10.25,(no tactic),0,12.0,100,1.9,1,2,5,3,H,WC1,Suo,2024-02-16,5-4-1,2-5-3,CA,86,5.5032897642734815
2,2024-02-09 20:00:00,Match 6 in round I of World Cup,Guatemala,7.790823229687103,18.643881278694828,17.622298742875934,9.194242822370052,15.5,17.5,14.0,17.25,16.5,8.75,15.75,10.5,8.0,Attack on wings,20,14.0,0,1.9,3,3,5,2,H,Indonesia,13.5,17.25,16.75,17.5,13.5,13.5,14.0,11.25,8.0,(no tactic),0,12.0,0,1.8,3,3,5,2,A,WC1,Ind,2024-02-09,3-5-2,3-5-2,AOW,86,7.790823229687103
3,2024-02-02 20:00:00,Match 5 in round I of World Cup,Guatemala,6.839441373767826,16.93309262349329,10.77560439676846,13.341224491237137,11.25,22.75,24.0,23.75,4.5,5.25,15.75,11.0,6.75,Counter-attacks,17,13.0,-100,0.5,1,4,5,1,H,Angola,9.0,21.75,23.5,21.75,16.75,7.25,17.0,12.5,8.75,Counter-attacks,18,19.0,-100,0.9,1,4,4,2,A,WC1,Ang,2024-02-02,4-5-1,4-4-2,CA,86,6.839441373767826
4,2024-01-26 20:00:00,Match 4 in round I of World Cup,Guatemala,8.66805830487092,18.24923835436098,4.953364696183694,6.517585126557492,14.5,17.5,16.75,17.75,12.0,14.25,11.5,11.0,8.75,(no tactic),0,11.75,0,3.0,2,2,5,3,A,Kyrgyz Republic,15.5,5.75,11.75,12.75,8.25,17.25,15.0,10.25,9.25,Attack in the Middle,21,15.0,100,3.0,2,2,5,3,H,WC1,Kyr,2024-01-26,2-5-3,2-5-3,N,86,8.66805830487092
5,2024-01-19 20:00:00,Match 3 in round I of World Cup,Guatemala,5.190355469552948,5.258587884073919,4.732729095666526,17.87919880585132,7.25,23.5,19.25,24.0,16.25,7.0,16.25,11.0,8.75,Counter-attacks,18,13.5,-100,0.9,3,4,4,2,A,England,14.0,21.0,22.5,20.5,11.0,10.25,11.0,12.75,9.5,(no tactic),0,15.25,0,2.0,3,3,4,3,H,WC1,Eng,2024-01-19,4-4-2,3-4-3,CA,86,5.190355469552948
6,2024-01-15 20:00:00,Match 2 in round I of World Cup,Guatemala,7.441635392086053,,,,11.5,24.5,24.75,23.25,16.0,5.0,4.0,12.25,8.25,Pressing,14,14.5,-100,0.7,0,4,5,1,H,Suomi,12.25,15.0,13.5,14.25,16.5,17.25,17.75,12.75,10.0,(no tactic),0,12.75,100,1.0,0,3,5,2,A,WC1,Suo,2024-01-15,4-5-1,3-5-2,Pr,86,7.441635392086053
7,2024-01-12 20:00:00,Match 1 in round I of World Cup,Guatemala,7.87745855699035,,,,9.25,16.75,14.0,16.75,18.5,17.0,12.5,11.25,9.75,(no tactic),0,14.0,-40,2.2,4,3,4,3,A,Indonesia,9.5,18.75,15.75,19.0,18.0,8.0,17.25,10.5,7.5,Attack on wings,23,10.75,0,2.2,4,3,5,2,H,WC1,Ind,2024-01-12,3-4-3,3-5-2,N,86,7.87745855699035
8,2024-01-05 20:00:00,Friendly match,Guatemala,,17.829123597771083,9.525148223466742,15.142543329613796,5.25,17.25,18.25,17.25,15.5,10.75,12.5,10.25,8.25,Counter-attacks,19,10.25,0,1.8,0,4,3,3,H,Andorra,7.25,18.5,20.75,18.5,6.0,9.5,11.0,10.5,7.75,Play creatively,20,11.75,0,1.8,0,5,3,2,A,F,And,2024-01-05,4-3-3,5-3-2,CA,86,
9,2023-12-29 20:00:00,Friendly match,Guatemala,,3.6935983561750954,4.432318027410115,13.296954082230343,6.25,16.75,18.25,17.25,14.0,14.0,12.25,10.0,7.5,(no tactic),0,10.0,0,0.8,1,4,3,3,H,Latvija,8.75,17.75,17.75,17.75,13.25,14.75,13.0,10.0,7.0,(no tactic),0,9.0,0,2.0,1,3,5,2,A,F,Lat,2023-12-29,4-3-3,3-5-2,N,86,
