,Match Datetime,Match Type,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,HomeOrAway_
0,2023-10-13 20:00:00,Friendly match,Andorra,8.5,15.75,15.75,13.5,11.75,6.0,11.0,10.25,7.5,Normal,(no tactic),11.0,-30.0,2.6,A,Saint Vincent and the Grenadines,8.25,8.75,12.5,15.25,11.5,13.75,11.0,8.5,6.75,Play creatively,18,6.75,,1.8,H
1,2023-10-06 20:00:00,Friendly match,Andorra,8.75,13.75,13.0,8.75,13.5,13.75,10.75,9.5,8.25,Normal,,10.25,,2.5,H,Shqiperia,8.75,14.5,12.5,15.75,13.0,15.25,13.75,9.75,7.25,Normal,Style of play,10.5,,2.9,A
2,2023-09-29 20:00:00,Friendly match,Andorra,9.0,18.5,14.25,16.0,12.0,7.75,13.75,10.5,7.25,Attack on wings,18,9.75,,1.4,H,El Salvador,7.5,15.5,20.75,17.75,7.75,5.5,8.25,10.5,6.75,Pressing,"formidable
formidable",11.25,,0.3,A
3,2023-09-22 20:00:00,Friendly match,Andorra,9.0,15.75,18.75,17.75,11.75,3.0,2.75,9.75,6.25,Pressing,8,9.75,,1.1,H,Mongol Uls,10.75,7.5,9.75,7.75,11.75,19.0,10.0,7.5,6.5,Play creatively,"utopian
utopian",8.0,,1.8,A
4,2023-09-15 20:00:00,Friendly match,Andorra,9.0,21.0,14.75,14.75,12.0,10.0,10.25,10.0,7.25,Normal,,9.5,,1.4,H,Hellas,10.5,16.0,14.0,16.0,15.75,17.0,15.5,10.75,9.0,Play creatively,23,13.25,-100.0,3.5,A
5,2023-09-08 20:00:00,Friendly match,Andorra,9.5,16.75,18.5,17.0,9.75,7.0,9.0,10.25,6.75,Normal,(no tactic),9.5,-100.0,0.8,A,Bénin,6.25,22.0,19.25,18.75,14.75,6.75,13.25,11.0,8.5,Counter-attacks,19,12.25,,1.0,H
6,2023-09-01 20:00:00,Friendly match,Andorra,7.5,20.0,23.25,19.5,9.5,6.25,8.25,10.5,7.0,Counter-attacks,18,9.25,,0.6,H,Perú,9.5,16.0,17.5,18.25,9.5,16.0,14.0,10.5,8.25,Normal,(no tactic),14.5,-100.0,1.2,A
7,2023-08-25 20:00:00,Friendly match,Andorra,7.5,13.0,14.75,15.75,12.75,8.5,10.5,9.75,7.0,Normal,Style of play,10.75,,0.5,A,Føroyar,9.5,19.25,19.75,22.0,11.25,9.25,13.75,11.25,8.75,Normal,,8.5,,2.3,H
8,2023-08-18 20:00:00,Friendly match,Andorra,7.75,18.25,20.5,21.0,11.5,4.25,12.0,10.5,7.0,Normal,Style of play,10.5,,1.2,A,Magyarország,7.5,15.75,15.25,15.75,16.0,15.5,13.25,9.5,7.75,Normal,,9.75,,1.4,H
9,2023-08-11 20:00:00,Friendly match,Andorra,5.75,19.0,21.0,15.75,13.25,4.0,3.25,10.5,6.5,Counter-attacks,"magical
magical",8.5,,0.7,A,Slovenija,9.75,16.75,18.0,17.0,11.0,7.25,9.25,8.25,6.0,Pressing,14,8.0,,0.6,H
10,2023-08-04 20:00:00,Friendly match,Andorra,6.5,14.25,14.25,14.25,14.0,7.75,10.0,10.0,7.25,Play creatively,20,9.25,,1.2,H,Colombia,6.25,18.0,18.25,18.25,16.75,7.0,16.25,10.25,7.25,Normal,(no tactic),11.0,0.0,2.3,A
11,2023-07-28 20:00:00,Match 10 in round I of World Cup,Andorra,3.5,25.5,26.75,26.75,14.5,6.5,14.25,13.0,9.5,Counter-attacks,22,19.75,100.0,1.1,A,Bangladesh,16.75,12.75,12.0,12.25,15.25,17.75,13.25,10.75,9.5,Normal,,14.25,,1.6,H
12,2023-07-21 20:00:00,Match 9 in round I of World Cup,Andorra,19.0,7.75,10.5,8.0,12.75,21.5,12.75,9.25,10.0,Normal,,17.0,,4.2,H,São Tomé e Príncipe,15.5,8.5,15.25,18.25,11.75,17.25,14.5,10.0,7.75,Normal,Style of play,14.75,,2.9,A
13,2023-07-14 20:00:00,Match 8 in round I of World Cup,Andorra,11.75,23.5,27.25,18.0,6.5,5.25,7.25,11.25,7.5,Pressing,11,8.75,100.0,0.4,A,USA,17.0,14.5,11.75,14.0,18.25,21.25,18.0,10.5,8.75,Normal,,17.0,,2.2,H
14,2023-07-07 20:00:00,Match 7 in round I of World Cup,Andorra,7.5,20.5,20.5,20.75,17.25,7.0,15.5,10.5,8.0,Counter-attacks,16,11.25,50.0,0.8,A,Cabo Verde,13.75,17.25,17.0,17.0,16.5,8.25,17.25,12.5,9.0,Normal,,18.5,,2.0,H
15,2023-06-30 20:00:00,Match 6 in round I of World Cup,Andorra,14.0,17.5,24.0,17.5,7.5,7.25,8.0,10.75,7.75,Pressing,10,16.5,,0.6,H,Hellas,8.5,21.0,22.5,20.5,19.75,8.25,19.75,11.5,8.5,Counter-attacks,"magical
magical",14.75,,1.4,A
16,2023-06-23 20:00:00,Match 5 in round I of World Cup,Andorra,7.75,20.0,22.5,20.0,16.0,6.0,14.0,11.0,9.0,Counter-attacks,17,16.75,,0.9,H,Bangladesh,8.5,23.5,25.75,24.25,11.25,10.5,10.0,10.75,7.75,Counter-attacks,"divine (+2)
divine (+2)",13.25,,0.8,A
17,2023-06-16 20:00:00,Match 4 in round I of World Cup,Andorra,6.5,22.75,26.5,21.25,16.25,7.0,4.25,11.5,9.0,Counter-attacks,21,15.75,50.0,0.8,A,São Tomé e Príncipe,16.25,14.75,16.0,16.5,14.25,15.0,14.5,10.25,7.75,Normal,,14.25,,1.5,H
18,2023-06-09 20:00:00,Match 3 in round I of World Cup,Andorra,12.25,16.5,16.0,17.5,11.5,11.5,10.0,9.75,8.0,Pressing,9,9.25,,0.6,H,USA,15.0,14.75,19.25,17.0,12.0,14.5,13.5,10.75,7.75,Normal,(no tactic),16.75,-100.0,1.3,A
19,2023-06-05 20:00:00,Match 2 in round I of World Cup,Andorra,12.25,7.75,13.5,9.25,10.75,15.5,11.0,9.25,9.0,Attack in the Middle,20,15.5,,2.4,H,Cabo Verde,11.5,14.5,16.0,17.25,11.25,15.5,16.25,11.75,9.0,Normal,(no tactic),16.75,100.0,3.1,A
20,2023-06-02 20:00:00,Match 1 in round I of World Cup,Andorra,6.25,22.5,24.25,22.5,10.0,9.75,9.5,11.5,8.75,Counter-attacks,"mythical
mythical",15.5,,2.1,A,Hellas,11.5,10.0,9.5,11.75,19.25,22.75,18.25,10.25,8.5,Play creatively,24,15.0,,3.4,H
21,2023-05-26 20:00:00,Friendly match,Andorra,7.5,23.75,17.0,17.0,9.5,10.0,9.25,10.5,8.75,Normal,,11.25,,1.1,H,Honduras,8.0,15.75,15.25,16.5,12.0,10.25,10.5,9.5,7.5,Normal,Style of play,15.75,,1.1,A
22,2023-05-19 20:00:00,Quarterfinals in Europe Cup,Andorra,13.75,21.5,27.0,20.25,2.5,3.0,1.75,15.75,14.0,Long shots,divine,24.25,,1.3,A,Polska,15.0,13.5,11.0,7.25,20.75,25.5,16.5,10.5,9.0,Play creatively,24,15.75,,2.7,H
23,2023-05-12 20:00:00,Round 10 in Europe Cup,Andorra,18.25,21.75,23.75,21.75,1.5,3.0,2.5,16.0,14.0,Long shots,divine,25.5,,2.1,A,Hrvatska,7.0,25.0,28.25,24.5,11.25,6.25,12.75,12.25,7.5,Counter-attacks,19,12.25,,0.4,H
24,2023-05-05 20:00:00,Round 9 in Europe Cup,Andorra,15.0,23.0,25.75,20.25,2.0,2.5,2.0,15.75,14.0,Long shots,20,22.25,,2.1,H,Northern Ireland,7.5,23.5,26.75,19.25,19.0,6.25,4.0,12.25,8.5,Counter-attacks,"divine (+1)
divine (+1)",15.25,,0.5,A
25,2023-04-28 20:00:00,Round 8 in Europe Cup,Andorra,13.25,20.5,24.0,20.75,1.75,2.5,2.0,15.25,13.25,Long shots,divine,23.75,,1.5,A,Bosna i Hercegovina,11.25,17.5,24.0,18.0,14.25,14.0,13.75,11.5,7.75,Counter-attacks,18,14.25,,0.7,H
26,2023-04-21 20:00:00,Round 7 in Europe Cup,Andorra,13.25,24.25,29.75,24.25,2.5,3.0,2.0,16.5,14.25,Pressing,13,26.0,100.0,0.3,A,Danmark,15.25,9.75,11.75,10.75,25.5,20.5,14.5,9.5,7.5,Normal,,16.0,,1.1,H
27,2023-04-14 20:00:00,Round 6 in Europe Cup,Andorra,14.25,25.5,31.0,21.0,2.0,2.25,1.75,16.75,14.5,Long shots,21,24.0,,0.8,H,Belgium,15.25,8.75,12.5,14.25,10.0,21.25,17.5,10.25,9.25,Pressing,"excellent
excellent",16.75,,0.9,A
28,2023-04-07 20:00:00,Round 5 in Europe Cup,Andorra,20.25,8.25,12.5,8.0,12.0,19.5,11.75,13.0,13.75,Attack in the Middle,22,20.5,,4.3,H,Hrvatska,13.75,14.75,16.5,14.25,11.5,13.0,15.25,11.75,9.0,Play creatively,"divine (+4)
divine (+4)",12.25,,2.2,A
29,2023-04-03 20:00:00,Round 4 in Europe Cup,Andorra,13.75,17.25,25.5,23.5,1.75,2.75,2.25,15.75,13.75,Long shots,divine,22.0,,1.8,A,Northern Ireland,14.5,10.75,11.5,8.75,19.25,13.75,11.75,10.5,9.0,Play creatively,24,15.25,,1.1,H
30,2023-03-31 20:00:00,Round 3 in Europe Cup,Andorra,15.75,7.0,16.0,14.25,9.25,16.25,10.5,14.0,13.5,Attack in the Middle,21,14.75,,4.1,H,Bosna i Hercegovina,13.0,9.75,10.5,12.0,15.25,21.75,20.75,10.5,9.5,Normal,(no tactic),15.0,40.0,2.4,A
31,2023-03-27 20:00:00,Round 2 in Europe Cup,Andorra,12.75,20.0,29.0,24.0,2.0,2.75,2.0,16.5,14.5,Long shots,21,21.5,,1.4,H,Danmark,11.5,9.75,10.75,9.75,14.0,22.75,21.0,9.25,8.0,Normal,(no tactic),15.0,-100.0,1.2,A
32,2023-03-24 20:00:00,Round 1 in Europe Cup,Andorra,10.5,23.25,28.75,23.25,1.75,2.75,2.25,16.25,14.5,Pressing,"magnificent
magnificent",17.0,,0.3,A,Belgium,11.0,12.0,9.75,11.75,18.25,22.75,18.5,9.75,8.5,Pressing,8,15.0,,1.0,H
33,2023-03-17 20:00:00,Friendly match,Andorra,1.5,20.0,18.0,18.5,14.0,13.25,13.5,11.75,8.75,Normal,,11.75,,0.3,H,Costa Rica,8.25,17.0,21.0,17.75,5.25,8.5,12.25,12.0,7.25,Counter-attacks,23,11.0,-100.0,0.8,A
34,2023-03-10 20:00:00,Friendly match,Andorra,13.75,22.75,29.75,21.0,2.25,2.5,1.75,16.0,14.0,Long shots,21,16.75,,2.5,H,Sri Lanka,8.5,14.25,16.25,13.0,8.75,8.5,7.5,9.5,6.5,Normal,(no tactic),8.75,-100.0,0.2,A
