,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
,2025-02-21 12:00:00,Round 7 in Asia and Oceania Cup,Bahrain,,,,,9.75,22.5,22.75,23.25,11,11.5,11.5,11.5,8.25,Counter-attacks,20,16,-100,2.1,1,4,4,2,A,Pakistan,,,,,,,,,,,,,,,,,,,,,Pak,2025-02-21,4-4-2,,CA,90,
,2025-02-14 12:00:00,Round 6 in Asia and Oceania Cup,Bahrain,,,,,13.5,16.75,18,17.75,13.25,13.5,11,11,7.5,(no tactic),0,15.25,-10,1.4,2,3,5,2,H,Palestine,,,,,,,,,,,,,,,,,,,,,Pal,2025-02-14,3-5-2,,N,90,
,2025-02-07 12:00:00,Round 5 in Asia and Oceania Cup,Bahrain,,,,,11.25,23.75,23.75,23.25,11.25,8.5,6,12.25,8,Counter-attacks,19,13.25,-100,0.6,1,4,5,1,A,Hong Kong,,,,,,,,,,,,,,,,,,,,,Hon,2025-02-07,4-5-1,,CA,90,
,2025-02-03 12:00:00,Round 4 in Asia and Oceania Cup,Bahrain,,,,,13.5,18,17.25,17.25,15.5,15.75,11.75,10.5,8.5,(no tactic),0,13,10,2.7,3,3,4,3,H,Al Urdun,,,,,,,,,,,,,,,,,,,,,Al ,2025-02-03,3-4-3,,N,90,
,2025-01-31 12:00:00,Round 3 in Asia and Oceania Cup,Bahrain,,,,,9,23.75,23.75,22.75,11.5,11.25,10.25,11.75,8.5,Counter-attacks,19,18.25,-100,1,0,4,4,2,A,Hayastan,,,,,,,,,,,,,,,,,,,H,CC,Hay,2025-01-31,4-4-2,,CA,90,
0,2025-01-27 12:00:00,Round 2 in Asia and Oceania Cup,Bahrain,11.8088484555242,12.771363253151,13.026790518214,12.771363253151,11.25,17,17,17.25,12.5,12.75,12.5,11,7.5,Play creatively,25,16.5,-30,1.5,1,3,5,2,H,Pakistan,6.25,23.25,21.75,24,14.25,7.75,13.25,12.25,8.5,Counter-attacks,21,13.25,-100,1,0,5,3,2,A,CC,Pak,2025-01-27,3-5-2,5-3-2,PC,90,11.8088484555242
1,2025-01-24 12:00:00,Round 1 in Asia and Oceania Cup,Bahrain,10.1115525247828,12.0130712366942,11.762798919263,13.5147051412809,7.25,23.5,21,25,12,11.75,13.5,11.75,8.5,Counter-attacks,21,17.25,-100,1.1,0,4,4,2,A,Palestine,11,18.75,18.25,18,15.25,11,11.5,11.25,7.75,(no tactic),0,14,-40,0.9,1,3,5,2,H,CC,Pal,2025-01-24,4-4-2,3-5-2,CA,90,10.1115525247828
2,2025-01-17 20:00:00,Friendly match,Bahrain,,,,,7.75,7,7.5,9.75,10.75,9,9.5,9,8.5,(no tactic),0,11,100,0.8,1,3,5,2,A,Lëtzebuerg,6.25,18.75,22.25,19.75,5.5,8,15.5,9.5,6,Counter-attacks,18,8.5,-100,3,4,4,4,2,H,F,Lët,2025-01-17,3-5-2,4-4-2,N,90,
3,2025-01-10 20:00:00,Friendly match,Bahrain,,,,,9.75,8.75,9,8.75,10.25,11.5,13.25,8.25,6.25,Play creatively,21,8,100,5,1,3,5,2,A,Burkina Faso,5.25,12.75,8.5,10.25,6.25,5.5,12.75,7.75,5,Attack on wings,11,3.5,50,0.5,1,3,5,2,H,F,Bur,2025-01-10,3-5-2,3-5-2,PC,90,
4,2025-01-03 20:00:00,Friendly match,Bahrain,,,,,8.25,12.5,13.25,14.75,15.5,13.5,14.75,9.5,8,(no tactic),0,9.5,50,1.5,1,2,5,3,H,Suomi,6,20.75,23.5,22,12.5,11.25,12.5,13,10.75,Counter-attacks,16,10.5,-100,2.1,2,4,4,2,A,F,Suo,2025-01-03,2-5-3,4-4-2,N,88,
