,Unnamed: 0.1,Unnamed: 0,Match Datetime,Match Type,sc_ra,sc_ca,sc_la,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,0,,2025-02-21 12:00:00,Round 7 in Asia and Oceania Cup,10.961964996393329,11.460236132593028,11.460236132593028,Bahrain,13.593856565915262,9.75,22.5,22.75,23.25,11.0,11.5,11.5,11.5,8.25,Counter-attacks,20,16.0,-100,2.1,1,4,4,2,A,Pakistan,,,,,,,,,,,,,,,1,,,,,CC,Pak,2025-02-21,4-4-2,nan-nan-nan,CA,90,13.593856565915262
1,1,,2025-02-14 12:00:00,Round 6 in Asia and Oceania Cup,13.353494188227593,13.605446908760188,11.085919703434229,Bahrain,15.79021610343578,13.5,16.75,18.0,17.75,13.25,13.5,11.0,11.0,7.5,(no tactic),0,15.25,-10,1.4,2,3,5,2,H,Palestine,,,,,,,,,,,,,,,1,,,,,CC,Pal,2025-02-14,3-5-2,nan-nan-nan,N,90,15.79021610343578
2,2,,2025-02-07 12:00:00,Round 5 in Asia and Oceania Cup,11.127641972399049,8.40755171247928,5.934742385279493,Bahrain,15.983481881942541,11.25,23.75,23.75,23.25,11.25,8.5,6.0,12.25,8.0,Counter-attacks,19,13.25,-100,0.6,1,4,5,1,A,Hong Kong,,,,,,,,,,,,,,,2,,,,,CC,Hon,2025-02-07,4-5-1,nan-nan-nan,CA,90,15.983481881942541
3,3,,2025-02-03 12:00:00,Round 4 in Asia and Oceania Cup,15.67749959192582,15.930362488569784,11.884556142266346,Bahrain,13.405289267993766,13.5,18.0,17.25,17.25,15.5,15.75,11.75,10.5,8.5,(no tactic),0,13.0,10,2.7,3,3,4,3,H,Al Urdun,,,,,,,,,,,,,,,1,,,,,CC,Al ,2025-02-03,3-4-3,nan-nan-nan,N,90,13.405289267993766
4,4,,2025-01-31 12:00:00,Round 3 in Asia and Oceania Cup,11.630148889355784,11.377319565674135,10.366002270947547,Bahrain,13.23676845470674,9.0,23.75,23.75,22.75,11.5,11.25,10.25,11.75,8.5,Counter-attacks,19,18.25,-100,1.0,0,4,4,2,A,Hayastan,,,,,,,,,,,,,,,0,,,,H,CC,Hay,2025-01-31,4-4-2,nan-nan-nan,CA,90,13.23676845470674
5,5,0.0,2025-01-27 12:00:00,Round 2 in Asia and Oceania Cup,12.91590053514723,13.174218545850174,12.91590053514723,Bahrain,15.110062629841144,11.25,17.0,17.0,17.25,12.5,12.75,12.5,11.0,7.5,Play creatively,25,16.5,-30,1.5,1,3,5,2,H,Pakistan,6.25,23.25,21.75,24.0,14.25,7.75,13.25,12.25,8.5,Counter-attacks,21.0,13.25,-100.0,1.0,0,5.0,3.0,2.0,A,CC,Pak,2025-01-27,3-5-2,5.0-3.0-2.0,PC,90,15.110062629841144
6,6,1.0,2025-01-24 12:00:00,Round 1 in Asia and Oceania Cup,12.149026704451348,11.895921981441946,13.667655042507766,Bahrain,12.938280350521627,7.25,23.5,21.0,25.0,12.0,11.75,13.5,11.75,8.5,Counter-attacks,21,17.25,-100,1.1,0,4,4,2,A,Palestine,11.0,18.75,18.25,18.0,15.25,11.0,11.5,11.25,7.75,(no tactic),0.0,14.0,-40.0,0.9,1,3.0,5.0,2.0,H,CC,Pal,2025-01-24,4-4-2,3.0-5.0-2.0,CA,90,12.938280350521627
7,7,2.0,2025-01-17 20:00:00,Friendly match,,,,Bahrain,,7.75,7.0,7.5,9.75,10.75,9.0,9.5,9.0,8.5,(no tactic),0,11.0,100,0.8,1,3,5,2,A,Lëtzebuerg,6.25,18.75,22.25,19.75,5.5,8.0,15.5,9.5,6.0,Counter-attacks,18.0,8.5,-100.0,3.0,4,4.0,4.0,2.0,H,F,Lët,2025-01-17,3-5-2,4.0-4.0-2.0,N,90,
8,8,3.0,2025-01-10 20:00:00,Friendly match,,,,Bahrain,,9.75,8.75,9.0,8.75,10.25,11.5,13.25,8.25,6.25,Play creatively,21,8.0,100,5.0,1,3,5,2,A,Burkina Faso,5.25,12.75,8.5,10.25,6.25,5.5,12.75,7.75,5.0,Attack on wings,11.0,3.5,50.0,0.5,1,3.0,5.0,2.0,H,F,Bur,2025-01-10,3-5-2,3.0-5.0-2.0,PC,90,
9,9,4.0,2025-01-03 20:00:00,Friendly match,,,,Bahrain,,8.25,12.5,13.25,14.75,15.5,13.5,14.75,9.5,8.0,(no tactic),0,9.5,50,1.5,1,2,5,3,H,Suomi,6.0,20.75,23.5,22.0,12.5,11.25,12.5,13.0,10.75,Counter-attacks,16.0,10.5,-100.0,2.1,2,4.0,4.0,2.0,A,F,Suo,2025-01-03,2-5-3,4.0-4.0-2.0,N,88,
