datetime,team spirit,confidence
2024-02-16,8,4
2024-02-15,8,4
2024-02-14,9,4
2024-02-13,9,4
2024-02-12,9,4
2024-02-11,10,4
2024-02-10,10,4
2024-02-09,8,4
2024-02-08,8,4
2024-02-07,8,4
2024-02-06,8,4
2024-02-05,9,4
2024-02-04,9,4
2024-02-03,9,4
2024-02-02,7,4
2024-02-01,7,4
2024-01-31,7,4
2024-01-30,7,4
2024-01-29,8,4
2024-01-28,8,4
2024-01-27,8,4
2024-01-26,8,6
2024-01-25,8,6
2024-01-24,8,6
2024-01-23,9,6
2024-01-22,9,6
2024-01-21,9,6
2024-01-20,9,6
2024-01-19,7,6
2024-01-18,8,6
2024-01-17,8,6
2024-01-16,8,6
2024-01-15,6,5
2024-01-14,6,5
2024-01-13,6,5
2024-01-12,5,5
2024-01-11,5,5
2024-01-10,5,5
2024-01-09,1,6
2024-01-08,1,6
2024-01-07,0,6
2024-01-06,2,7
2024-01-05,4,6
2024-01-04,4,6
2024-01-03,4,6
2024-01-02,4,6
2024-01-01,8,5
2023-12-31,8,5
2023-12-30,8,5
2023-12-29,8,5
2023-12-28,9,5
2023-12-27,9,5
2023-12-26,9,5
2023-12-25,10,5
2023-12-24,10,5
2023-12-23,10,5
2023-12-22,8,5
2023-12-21,9,5
2023-12-20,9,5
2023-12-19,9,5
2023-12-18,10,5
2023-12-17,10,6
2023-12-16,10,6
2023-12-15,8,5
2023-12-14,9,5
2023-12-13,9,5
2023-12-12,9,5
2023-12-11,10,5
2023-12-10,10,5
2023-12-09,10,5
2023-12-08,8,5
2023-12-07,9,5
2023-12-06,9,5
2023-12-05,9,5
2023-12-04,9,5
2023-12-03,10,5
2023-12-02,10,5
2023-12-01,8,6
2023-11-30,8,6
2023-11-29,9,6
2023-11-28,9,6
2023-11-27,9,6
2023-11-26,10,6
2023-11-25,10,6
2023-11-24,8,6
2023-11-23,8,6
2023-11-22,8,6
2023-11-21,8,6
2023-11-20,9,6
2023-11-19,9,6
2023-11-18,9,6
2023-11-17,10,6
2023-11-16,10,6
2023-11-15,10,6
2023-11-14,10,6
2023-11-13,9,6
