,Unnamed: 0,Match Datetime,Match Type,Team name,sc_ra,sc_ca,sc_la,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,,2025-02-28 12:00:00,Round 8 in Asia and Oceania Cup,,13.791106693235026,6.268684860561375,14.04185408765748,7.281089864952362,6.0,23.25,25.25,24.0,13.75,6.25,14.0,11.75,7.75,Counter-attacks,21,14.25,-100,1.0,1,5,3.0,2,,A,Pakistan,,,,,,,,,,,,,,,3,,,,,,CC,Pak,2025-02-28,5-3.0-2,nan-nan-nan,CA,90,7.281089864952362
1,,2025-02-21 12:00:00,Round 7 in Asia and Oceania Cup,,9.775257965689873,18.83525315340244,18.35841130141757,13.858209718719108,16.75,9.0,10.75,13.25,10.25,19.75,19.25,9.75,9.0,(no tactic),0,16.5,100,1.8,0,2,5.0,3,,H,Hong Kong,,,,,,,,,,,,,,,5,,,,,,CC,Hon,2025-02-21,2-5.0-3,nan-nan-nan,N,90,13.858209718719108
2,,2025-02-14 12:00:00,Round 6 in Asia and Oceania Cup,,9.957509563352811,7.8237575140629225,17.0700163943191,7.553479699535573,6.5,24.75,23.25,24.25,10.5,8.25,18.0,11.5,7.5,Counter-attacks,20,14.75,-100,1.4,1,5,3.0,2,,A,Bahrain,,,,,,,,,,,,,,,2,,,,,,CC,Bah,2025-02-14,5-3.0-2,nan-nan-nan,CA,90,7.553479699535573
3,,2025-02-07 12:00:00,Round 5 in Asia and Oceania Cup,,11.995703284642278,11.995703284642278,8.702765128073809,15.430711817195176,16.5,18.0,17.75,18.0,12.75,12.75,9.25,10.75,7.75,(no tactic),0,15.0,-10,1.5,1,3,5.0,2,,A,Al Urdun,,,,,,,,,,,,,,,2,,,,,,CC,Al ,2025-02-07,3-5.0-2,nan-nan-nan,N,90,15.430711817195176
4,,2025-02-03 12:00:00,Round 4 in Asia and Oceania Cup,,12.550419451013925,14.604124452088929,13.691366673833372,12.72632824496304,13.75,17.25,15.25,16.75,13.75,16.0,15.0,10.25,7.75,(no tactic),0,14.75,40,1.0,1,3,5.0,2,,H,Hayastan,,,,,,,,,,,,,,,3,,,,,,CC,Hay,2025-02-03,3-5.0-2,nan-nan-nan,N,90,12.72632824496304
5,0.0,2025-01-31 12:00:00,Round 3 in Asia and Oceania Cup,Palestine,10.979355288473633,11.21295859248371,10.979355288473633,13.180818792537362,13.25,18.0,17.75,16.75,11.75,12.0,11.75,10.5,7.5,(no tactic),0,14.75,-10,1.4,3,3,5.0,2,,H,Pakistan,12.25,16.5,16.0,16.5,12.5,12.25,12.25,10.75,8.0,(no tactic),0.0,13.5,0.0,1.1,1,3.0,5.0,2.0,,A,CC,Pak,2025-01-31,3-5.0-2,3.0-5.0-2.0,N,90,13.180818792537362
6,1.0,2025-01-27 12:00:00,Round 2 in Asia and Oceania Cup,Palestine,13.667159673378253,8.200295804026952,14.806089646159775,9.793602298508983,7.5,19.75,21.25,19.75,15.0,9.0,16.25,10.75,7.25,Counter-attacks,16,12.5,-60,1.3,3,4,4.0,2,,A,Hong Kong,12.0,14.75,12.25,14.75,17.5,19.25,16.5,11.5,10.0,(no tactic),0.0,13.5,50.0,2.7,5,2.0,5.0,3.0,,H,CC,Hon,2025-01-27,4-4.0-2,2.0-5.0-3.0,CA,90,9.793602298508983
7,2.0,2025-01-24 12:00:00,Round 1 in Asia and Oceania Cup,Palestine,14.183071174374385,10.230411994630705,10.695430721659372,13.277560364778006,11.0,18.75,18.25,18.0,15.25,11.0,11.5,11.25,7.75,(no tactic),0,14.0,-40,0.9,1,3,5.0,2,,H,Bahrain,7.25,23.5,21.0,25.0,12.0,11.75,13.5,11.75,8.5,Counter-attacks,21.0,17.25,-100.0,1.1,0,4.0,4.0,2.0,,A,CC,Bah,2025-01-24,3-5.0-2,4.0-4.0-2.0,N,90,13.277560364778006
8,3.0,2025-01-17 20:00:00,Friendly match,Palestine,,,,,6.25,14.5,14.75,14.0,6.25,11.25,10.75,7.75,6.25,Play creatively,17,7.0,-30,5.4,6,3,4.0,3,,H,Nepal,3.25,10.0,10.0,7.75,5.25,5.25,5.5,6.5,6.75,Counter-attacks,9.0,4.25,-100.0,0.6,0,4.0,4.0,2.0,,A,F,Nep,2025-01-17,3-4.0-3,4.0-4.0-2.0,PC,90,
9,4.0,2025-01-10 20:00:00,Friendly match,Palestine,,,,,6.75,20.5,23.25,21.25,13.25,10.25,6.5,10.0,7.5,(no tactic),0,11.25,-30,7.4,7,3,4.0,3,,H,Grenada,3.75,4.25,5.25,3.75,5.25,3.0,3.75,6.5,6.0,(no tactic),0.0,5.0,0.0,0.1,0,3.0,5.0,2.0,,A,F,Gre,2025-01-10,3-4.0-3,3.0-5.0-2.0,N,90,
