PlayerID,Form1,TSI1,Form2,TSI2,Name,Form4,TSI,Form,Stamina,Speciality,Experience,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces
439478420,1.0,-2290.0,0,3470,Harry 'The Hurricane' Baglin,-2,-9020,4,6,Quick,25,1,17,9,17,10,2,21
444189460,2.0,57870.0,-1,-24300,Grant Mant,-1,-18870,4,8,Unpredictable,16,1,16,10,16,11,3,9
444765573,0.0,-2890.0,0,1110,Albert Shannon,0,190,5,8,Quick,13,1,18,8,17,9,2,5
452538718,-1.0,-33260.0,1,17020,Gordon Ivy,0,12540,6,7,Unpredictable,9,1,16,8,16,6,4,18
451785918,0.0,-64110.0,0,49490,Scott Gray,-1,70,6,9,Technical,8,1,16,7,16,9,3,8
451187385,1.0,16530.0,0,2200,Ian Balshaw,0,20,6,7,Powerful,8,1,16,7,15,6,3,15
449967825,-1.0,9000.0,1,51440,Jonathan Ewen,1,30720,6,7,Head,13,1,17,6,17,8,4,2
447253133,1.0,74570.0,0,5770,Peter Swancutt,-1,-37620,6,8,Head,10,1,18,5,16,10,3,6
447082109,2.0,-15830.0,0,20600,Joey Thom,-1,3930,7,7,Unpredictable,10,1,17,9,17,10,4,1
446764495,0.0,-8790.0,1,6090,Gideon Pace,-1,720,7,8,Quick,10,1,18,8,15,9,3,9
446978691,0.0,-14530.0,0,25440,Neville Bines,0,4600,7,8,Quick,9,1,17,6,18,9,4,5
445291058,0.0,18760.0,0,740,Mark Hennesey,0,1310,7,8,Technical,10,1,17,10,17,9,2,9
440214346,-2.0,-23210.0,1,11740,Aaron Croggon,1,7640,7,7,,17,1,17,8,17,7,3,19
442498904,-1.0,-7660.0,0,3520,Wes Way,1,5070,7,8,,14,1,17,7,15,10,2,20
440346699,0.0,60440.0,0,-57370,Peter Clint,1,3010,7,8,Technical,15,1,16,9,17,8,3,21
444537455,0.0,60690.0,0,-66500,Gabriel Goodenough,0,2440,7,8,Unpredictable,22,1,17,8,15,11,2,15
443684433,1.0,15560.0,0,-8480,Dave Nesbitt,0,-4770,7,8,Quick,11,1,17,10,16,9,5,8
439394766,0.0,4990.0,1,2480,John Ibeh,0,2100,7,8,Powerful,14,1,16,7,16,8,3,20
